"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",22.7,0,"seagrass",1026.77,NA,0,0.89,NA,0.16,8.47,NA,0,13898.41,NA,239.99,0,NA,1.15
"2",100,0,"seagrass",705.4,NA,0,0.62,NA,0.16,6.88,NA,0,11104.62,NA,239.99,0.01,NA,1.15
"3",500,0,"seagrass",225.05,NA,0,0.23,NA,0.16,3.88,NA,0,6031.5,NA,239.99,0.02,NA,1.15
"4",1000,0,"seagrass",183.48,NA,0,0.19,NA,0.16,3.5,NA,0,5420.61,NA,239.99,0.03,NA,1.15
"5",6000,0,"seagrass",157.32,NA,0,0.17,NA,0.16,3.24,NA,0,4994.07,NA,239.99,0.03,NA,1.15
"6",10000,0,"seagrass",155.49,NA,0,0.17,NA,0.16,3.22,NA,0,4962.67,NA,239.99,0.03,NA,1.15
"7",22.7,4.02684563758389e-05,"seagrass",908.03,NA,0,0.88,NA,0.16,7.54,NA,0,12479.25,NA,239.94,0.01,NA,1.15
"8",100,4.02684563758389e-05,"seagrass",616.08,NA,0,0.6,NA,0.16,6.15,NA,0,9971.59,NA,239.94,0.01,NA,1.15
"9",500,4.02684563758389e-05,"seagrass",212.99,NA,0,0.22,NA,0.16,3.7,NA,0,5764.01,NA,239.94,0.02,NA,1.15
"10",1000,4.02684563758389e-05,"seagrass",176.33,NA,0,0.19,NA,0.16,3.38,NA,0,5232.91,NA,239.94,0.03,NA,1.15
"11",6000,4.02684563758389e-05,"seagrass",152.54,NA,0,0.17,NA,0.16,3.14,NA,0,4850.57,NA,239.94,0.03,NA,1.15
"12",10000,4.02684563758389e-05,"seagrass",150.86,NA,0,0.17,NA,0.16,3.12,NA,0,4822.04,NA,239.94,0.04,NA,1.15
"13",22.7,8.05369127516779e-05,"seagrass",813.06,NA,0,0.87,NA,0.16,6.8,NA,0,11341.24,NA,239.89,0.01,NA,1.15
"14",100,8.05369127516779e-05,"seagrass",545.76,NA,0,0.57,NA,0.16,5.58,NA,0,9067.67,NA,239.89,0.01,NA,1.15
"15",500,8.05369127516779e-05,"seagrass",202.35,NA,0,0.22,NA,0.16,3.54,NA,0,5525.05,NA,239.89,0.02,NA,1.15
"16",1000,8.05369127516779e-05,"seagrass",169.76,NA,0,0.19,NA,0.16,3.26,NA,0,5059.43,NA,239.89,0.03,NA,1.15
"17",6000,8.05369127516779e-05,"seagrass",148.04,NA,0,0.17,NA,0.16,3.05,NA,0,4715.13,NA,239.89,0.04,NA,1.15
