"","sh","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",22.7,0.5,"seagrass",1026.77,NA,0,0.89,NA,0.16,8.47,NA,0,13898.41,NA,239.99,0,NA,1.15
"2",100,0.5,"seagrass",705.4,NA,0,0.62,NA,0.16,6.88,NA,0,11104.62,NA,239.99,0.01,NA,1.15
"3",500,0.5,"seagrass",225.05,NA,0,0.23,NA,0.16,3.88,NA,0,6031.5,NA,239.99,0.02,NA,1.15
"4",1000,0.5,"seagrass",183.48,NA,0,0.19,NA,0.16,3.5,NA,0,5420.61,NA,239.99,0.03,NA,1.15
"5",6000,0.5,"seagrass",157.32,NA,0,0.17,NA,0.16,3.24,NA,0,4994.07,NA,239.99,0.03,NA,1.15
"6",10000,0.5,"seagrass",155.49,NA,0,0.17,NA,0.16,3.22,NA,0,4962.67,NA,239.99,0.03,NA,1.15
"7",22.7,0.513422818791946,"seagrass",1040.48,NA,0,0.91,NA,0.17,8.58,NA,0,14097.08,NA,246.43,0,NA,1.16
"8",100,0.513422818791946,"seagrass",716.02,NA,0,0.64,NA,0.17,6.97,NA,0,11263.05,NA,246.43,0.01,NA,1.16
"9",500,0.513422818791946,"seagrass",226.48,NA,0,0.23,NA,0.17,3.9,NA,0,6071.63,NA,246.43,0.02,NA,1.16
"10",1000,0.513422818791946,"seagrass",184.27,NA,0,0.2,NA,0.17,3.52,NA,0,5448.59,NA,246.43,0.03,NA,1.16
"11",6000,0.513422818791946,"seagrass",157.78,NA,0,0.17,NA,0.17,3.25,NA,0,5014.51,NA,246.43,0.03,NA,1.16
"12",10000,0.513422818791946,"seagrass",155.93,NA,0,0.17,NA,0.17,3.23,NA,0,4982.57,NA,246.43,0.04,NA,1.16
"13",22.7,0.526845637583893,"seagrass",1054.2,NA,0,0.93,NA,0.17,8.69,NA,0,14295.99,NA,252.88,0,NA,1.16
"14",100,0.526845637583893,"seagrass",726.71,NA,0,0.66,NA,0.17,7.05,NA,0,11422.5,NA,252.88,0.01,NA,1.16
