"","sh","temp","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",22.7,298.85,"seagrass",1026.77,NA,0,0.89,NA,0.16,8.47,NA,0,13898.41,NA,239.99,0,NA,1.15
"2",100,298.85,"seagrass",705.4,NA,0,0.62,NA,0.16,6.88,NA,0,11104.62,NA,239.99,0.01,NA,1.15
"3",500,298.85,"seagrass",225.05,NA,0,0.23,NA,0.16,3.88,NA,0,6031.5,NA,239.99,0.02,NA,1.15
"4",1000,298.85,"seagrass",183.48,NA,0,0.19,NA,0.16,3.5,NA,0,5420.61,NA,239.99,0.03,NA,1.15
"5",6000,298.85,"seagrass",157.32,NA,0,0.17,NA,0.16,3.24,NA,0,4994.07,NA,239.99,0.03,NA,1.15
"6",10000,298.85,"seagrass",155.49,NA,0,0.17,NA,0.16,3.22,NA,0,4962.67,NA,239.99,0.03,NA,1.15
"7",22.7,298.912416107383,"seagrass",1026.77,NA,0,0.88,NA,0.16,8.47,NA,0,13829.09,NA,238.56,0,NA,1.15
"8",100,298.912416107383,"seagrass",705.41,NA,0,0.62,NA,0.16,6.88,NA,0,11049.48,NA,238.56,0.01,NA,1.15
"9",500,298.912416107383,"seagrass",225.06,NA,0,0.23,NA,0.16,3.88,NA,0,6001.85,NA,238.56,0.02,NA,1.15
"10",1000,298.912416107383,"seagrass",183.49,NA,0,0.19,NA,0.16,3.5,NA,0,5393.98,NA,238.56,0.03,NA,1.15
"11",6000,298.912416107383,"seagrass",157.32,NA,0,0.17,NA,0.16,3.24,NA,0,4969.54,NA,238.56,0.03,NA,1.15
"12",10000,298.912416107383,"seagrass",155.49,NA,0,0.17,NA,0.16,3.22,NA,0,4938.3,NA,238.56,0.03,NA,1.15
"13",22.7,298.974832214765,"seagrass",1026.77,NA,0,0.88,NA,0.16,8.47,NA,0,13760.15,NA,237.15,0,NA,1.15
"14",100,298.974832214765,"seagrass",705.42,NA,0,0.62,NA,0.16,6.88,NA,0,10994.63,NA,237.15,0.01,NA,1.15
