"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",22.7,0,"seagrass",707,NA,0,0.81,NA,0.11,6.12,NA,0,10235.86,NA,162.15,0,NA,0.69
"2",1e+06,0,"seagrass",707,NA,0,0.11,NA,0.11,17.98,NA,0,27354.54,NA,162.15,0.06,NA,7.72
"3",22.7,4.02684563758389e-05,"seagrass",619.46,NA,0,0.79,NA,0.11,5.43,NA,0,9170.2,NA,162.12,0,NA,0.69
"4",1e+06,4.02684563758389e-05,"seagrass",693.21,NA,0,0.11,NA,0.11,17.64,NA,0,26815.2,NA,162.12,0.07,NA,7.72
"5",22.7,8.05369127516779e-05,"seagrass",549.63,NA,0,0.77,NA,0.11,4.87,NA,0,8314.48,NA,162.08,0,NA,0.69
"6",1e+06,8.05369127516779e-05,"seagrass",679.92,NA,0,0.11,NA,0.11,17.31,NA,0,26295.93,NA,162.08,0.07,NA,7.72
"7",22.7,0.000120805369127517,"seagrass",492.69,NA,0,0.75,NA,0.11,4.42,NA,0,7611.72,NA,162.05,0,NA,0.69
"8",1e+06,0.000120805369127517,"seagrass",667.12,NA,0,0.11,NA,0.11,16.99,NA,0,25795.55,NA,162.05,0.07,NA,7.72
"9",22.7,0.000161073825503356,"seagrass",445.41,NA,0,0.74,NA,0.11,4.04,NA,0,7023.89,NA,162.02,0.01,NA,0.69
"10",1e+06,0.000161073825503356,"seagrass",654.76,NA,0,0.11,NA,0.11,16.68,NA,0,25312.94,NA,162.02,0.08,NA,7.72
"11",22.7,0.000201342281879195,"seagrass",405.58,NA,0,0.72,NA,0.11,3.72,NA,0,6524.66,NA,161.99,0.01,NA,0.69
"12",1e+06,0.000201342281879195,"seagrass",642.83,NA,0,0.11,NA,0.11,16.39,NA,0,24847.05,NA,161.99,0.08,NA,7.72
"13",22.7,0.000241610738255034,"seagrass",371.59,NA,0,0.7,NA,0.11,3.45,NA,0,6095.18,NA,161.95,0.01,NA,0.69
"14",1e+06,0.000241610738255034,"seagrass",631.31,NA,0,0.11,NA,0.11,16.1,NA,0,24396.9,NA,161.95,0.08,NA,7.72
"15",22.7,0.000281879194630873,"seagrass",342.27,NA,0,0.69,NA,0.11,3.21,NA,0,5721.64,NA,161.92,0.01,NA,0.69
"16",1e+06,0.000281879194630873,"seagrass",620.16,NA,0,0.11,NA,0.11,15.83,NA,0,23961.58,NA,161.92,0.09,NA,7.72
"17",22.7,0.000322147651006711,"seagrass",316.75,NA,0,0.67,NA,0.11,3.01,NA,0,5393.65,NA,161.89,0.01,NA,0.69
"18",1e+06,0.000322147651006711,"seagrass",609.36,NA,0,0.11,NA,0.11,15.56,NA,0,23540.2,NA,161.89,0.09,NA,7.72
"19",22.7,0.00036241610738255,"seagrass",294.36,NA,0,0.66,NA,0.11,2.83,NA,0,5103.28,NA,161.86,0.01,NA,0.69
"20",1e+06,0.00036241610738255,"seagrass",598.9,NA,0,0.11,NA,0.11,15.3,NA,0,23131.94,NA,161.86,0.09,NA,7.72
"21",22.7,0.000402684563758389,"seagrass",274.57,NA,0,0.65,NA,0.11,2.66,NA,0,4844.33,NA,161.82,0.01,NA,0.69
"22",1e+06,0.000402684563758389,"seagrass",588.75,NA,0,0.11,NA,0.11,15.04,NA,0,22736.01,NA,161.82,0.1,NA,7.72
"23",22.7,0.000442953020134228,"seagrass",256.97,NA,0,0.63,NA,0.11,2.52,NA,0,4611.91,NA,161.79,0.01,NA,0.69
"24",1e+06,0.000442953020134228,"seagrass",578.89,NA,0,0.11,NA,0.11,14.8,NA,0,22351.63,NA,161.79,0.1,NA,7.72
"25",22.7,0.000483221476510067,"seagrass",241.23,NA,0,0.62,NA,0.11,2.39,NA,0,4402.11,NA,161.76,0.01,NA,0.69
"26",1e+06,0.000483221476510067,"seagrass",569.31,NA,0,0.11,NA,0.11,14.56,NA,0,21978.06,NA,161.76,0.11,NA,7.72
"27",22.7,0.000523489932885906,"seagrass",227.08,NA,0,0.61,NA,0.11,2.28,NA,0,4211.74,NA,161.72,0.01,NA,0.69
