"","sh","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",22.7,0.5,"seagrass",707,NA,0,0.81,NA,0.11,6.12,NA,0,10235.86,NA,162.15,0,NA,0.69
"2",1e+06,0.5,"seagrass",707,NA,0,0.11,NA,0.11,17.98,NA,0,27354.54,NA,162.15,0.06,NA,7.72
"3",22.7,0.530201342281879,"seagrass",737.09,NA,0,0.86,NA,0.12,6.36,NA,0,10672.62,NA,171.95,0,NA,0.69
"4",1e+06,0.530201342281879,"seagrass",707.32,NA,0,0.12,NA,0.12,17.98,NA,0,27377.02,NA,171.95,0.07,NA,7.73
"5",22.7,0.560402684563758,"seagrass",767.36,NA,0,0.91,NA,0.12,6.6,NA,0,11111.79,NA,181.74,0,NA,0.7
"6",1e+06,0.560402684563758,"seagrass",707.62,NA,0,0.12,NA,0.12,17.99,NA,0,27398.54,NA,181.74,0.07,NA,7.73
"7",22.7,0.590604026845638,"seagrass",797.78,NA,0,0.97,NA,0.13,6.83,NA,0,11553.16,NA,191.54,0,NA,0.71
"8",1e+06,0.590604026845638,"seagrass",707.89,NA,0,0.13,NA,0.13,18,NA,0,27418.94,NA,191.54,0.07,NA,7.74
"9",22.7,0.620805369127517,"seagrass",828.34,NA,0,1.02,NA,0.14,7.07,NA,0,11996.5,NA,201.33,0,NA,0.71
"10",1e+06,0.620805369127517,"seagrass",708.12,NA,0,0.13,NA,0.14,18,NA,0,27438.05,NA,201.33,0.08,NA,7.75
"11",22.7,0.651006711409396,"seagrass",859.03,NA,0,1.08,NA,0.14,7.31,NA,0,12441.65,NA,211.13,0,NA,0.72
"12",1e+06,0.651006711409396,"seagrass",708.32,NA,0,0.14,NA,0.14,18.01,NA,0,27455.65,NA,211.13,0.08,NA,7.75
"13",22.7,0.681208053691275,"seagrass",889.83,NA,0,1.13,NA,0.15,7.56,NA,0,12888.43,NA,220.92,0,NA,0.73
"14",1e+06,0.681208053691275,"seagrass",708.47,NA,0,0.15,NA,0.15,18.01,NA,0,27471.48,NA,220.92,0.09,NA,7.76
"15",22.7,0.711409395973154,"seagrass",920.74,NA,0,1.19,NA,0.16,7.8,NA,0,13336.71,NA,230.72,0,NA,0.73
"16",1e+06,0.711409395973154,"seagrass",708.57,NA,0,0.15,NA,0.16,18.01,NA,0,27485.22,NA,230.72,0.09,NA,7.76
"17",22.7,0.741610738255034,"seagrass",951.74,NA,0,1.25,NA,0.17,8.04,NA,0,13786.34,NA,240.51,0,NA,0.74
"18",1e+06,0.741610738255034,"seagrass",708.6,NA,0,0.16,NA,0.17,18.01,NA,0,27496.44,NA,240.51,0.1,NA,7.77
"19",22.7,0.771812080536913,"seagrass",982.83,NA,0,1.3,NA,0.17,8.28,NA,0,14237.23,NA,250.31,0,NA,0.74
"20",1e+06,0.771812080536913,"seagrass",708.55,NA,0,0.17,NA,0.17,18.01,NA,0,27504.6,NA,250.31,0.1,NA,7.78
"21",22.7,0.802013422818792,"seagrass",1014,NA,0,1.36,NA,0.18,8.52,NA,0,14689.27,NA,260.11,0,NA,0.75
"22",1e+06,0.802013422818792,"seagrass",708.41,NA,0,0.17,NA,0.18,18.01,NA,0,27509.01,NA,260.11,0.11,NA,7.78
"23",22.7,0.832214765100671,"seagrass",1045.24,NA,0,1.41,NA,0.19,8.77,NA,0,15142.36,NA,269.9,0,NA,0.76
"24",1e+06,0.832214765100671,"seagrass",708.14,NA,0,0.18,NA,0.19,18,NA,0,27508.74,NA,269.9,0.12,NA,7.79
"25",22.7,0.86241610738255,"seagrass",1076.56,NA,0,1.47,NA,0.19,9.01,NA,0,15596.42,NA,279.7,0,NA,0.76
"26",1e+06,0.86241610738255,"seagrass",707.72,NA,0,0.19,NA,0.19,17.99,NA,0,27502.51,NA,279.7,0.13,NA,7.8
"27",22.7,0.89261744966443,"seagrass",1107.93,NA,0,1.52,NA,0.2,9.25,NA,0,16051.38,NA,289.5,0,NA,0.77
"28",1e+06,0.89261744966443,"seagrass",707.1,NA,0,0.19,NA,0.2,17.98,NA,0,27488.57,NA,289.5,0.14,NA,7.8
"29",22.7,0.922818791946309,"seagrass",1139.36,NA,0,1.58,NA,0.21,9.49,NA,0,16507.17,NA,299.29,0,NA,0.77
"30",1e+06,0.922818791946309,"seagrass",706.22,NA,0,0.2,NA,0.21,17.95,NA,0,27464.36,NA,299.29,0.16,NA,7.81
"31",22.7,0.953020134228188,"seagrass",1170.84,NA,0,1.64,NA,0.21,9.74,NA,0,16963.73,NA,309.09,0,NA,0.78
"32",1e+06,0.953020134228188,"seagrass",704.97,NA,0,0.21,NA,0.21,17.92,NA,0,27426.07,NA,309.09,0.18,NA,7.81
"33",22.7,0.983221476510067,"seagrass",1202.38,NA,0,1.69,NA,0.22,9.98,NA,0,17421,NA,318.89,0,NA,0.79
"34",1e+06,0.983221476510067,"seagrass",703.21,NA,0,0.21,NA,0.22,17.88,NA,0,27367.75,NA,318.89,0.2,NA,7.82
"35",22.7,1.01342281879195,"seagrass",1233.96,NA,0,1.75,NA,0.23,10.22,NA,0,17878.94,NA,328.68,0,NA,0.79
"36",1e+06,1.01342281879195,"seagrass",700.67,NA,0,0.22,NA,0.23,17.82,NA,0,27279.55,NA,328.68,0.24,NA,7.83
"37",22.7,1.04362416107383,"seagrass",1265.58,NA,0,1.8,NA,0.23,10.47,NA,0,18337.49,NA,338.48,0.01,NA,0.8
"38",1e+06,1.04362416107383,"seagrass",696.91,NA,0,0.23,NA,0.23,17.72,NA,0,27143.84,NA,338.48,0.28,NA,7.83
