"","ma","nr","stability","S","CA","CS","CB","N"
"1",0,0.015,"seagrass",1026.77,0.89,8.47,13898.41,0
"2",4.02684563758389e-05,0.015,"seagrass",908.03,0.88,7.54,12479.25,0.01
"3",8.05369127516779e-05,0.015,"seagrass",813.06,0.87,6.8,11341.24,0.01
"4",0.000120805369127517,0.015,"seagrass",735.4,0.86,6.19,10407.9,0.01
"5",0.000161073825503356,0.015,"seagrass",670.72,0.85,5.68,9628.19,0.01
"6",0.000201342281879195,0.015,"seagrass",616.03,0.84,5.24,8966.75,0.01
"7",0.000241610738255034,0.015,"seagrass",569.2,0.83,4.87,8398.31,0.01
"8",0.000281879194630873,0.015,"seagrass",528.65,0.82,4.55,7904.32,0.01
"9",0.000322147651006711,0.015,"seagrass",493.2,0.82,4.27,7470.89,0.01
"10",0.00036241610738255,0.015,"seagrass",461.96,0.81,4.02,7087.36,0.01
"11",0.000402684563758389,0.015,"seagrass",434.22,0.8,3.8,6745.45,0.01
"12",0.000442953020134228,0.015,"seagrass",409.44,0.79,3.6,6438.63,0.01
"13",0.000483221476510067,0.015,"seagrass",387.16,0.78,3.42,6161.65,0.01
"14",0.000523489932885906,0.015,"seagrass",367.03,0.78,3.26,5910.29,0.01
"15",0.000563758389261745,0.015,"seagrass",348.76,0.77,3.11,5681.07,0.01
"16",0.000604026845637584,0.015,"seagrass",332.1,0.76,2.98,5471.12,0.01
"17",0.000644295302013423,0.015,"seagrass",316.85,0.75,2.86,5278.05,0.01
"18",0.000684563758389262,0.015,"seagrass",302.85,0.75,2.74,5099.86,0.01
"19",0.000724832214765101,0.015,"seagrass",289.94,0.74,2.64,4934.84,0.01
"20",0.00076510067114094,0.015,"seagrass",278.01,0.73,2.54,4781.55,0.01
"21",0.000805369127516779,0.015,"seagrass",266.95,0.72,2.45,4638.74,0.01
"22",0.000845637583892618,0.015,"seagrass",256.67,0.72,2.37,4505.33,0.01
"23",0.000885906040268456,0.015,"seagrass",247.09,0.71,2.29,4380.41,0.01
"24",0.000926174496644295,0.015,"seagrass",238.14,0.7,2.22,4263.16,0.01
"25",0.000966442953020134,0.015,"seagrass",229.77,0.7,2.15,4152.87,0.01
"26",0.00100671140939597,0.015,"seagrass",221.92,0.69,2.09,4048.91,0.01
"27",0.00104697986577181,0.015,"seagrass",214.55,0.69,2.03,3950.74,0.01
"28",0.00108724832214765,0.015,"seagrass",207.61,0.68,1.97,3857.86,0.01
"29",0.00112751677852349,0.015,"seagrass",201.07,0.67,1.92,3769.85,0.01
"30",0.00116778523489933,0.015,"seagrass",194.89,0.67,1.87,3686.31,0.01
"31",0.00120805369127517,0.015,"seagrass",189.04,0.66,1.82,3606.9,0.01
"32",0.00124832214765101,0.015,"seagrass",183.51,0.66,1.77,3531.31,0.01
"33",0.00128859060402685,0.015,"seagrass",178.26,0.65,1.73,3459.24,0.02
"34",0.00132885906040268,0.015,"seagrass",173.28,0.64,1.69,3390.46,0.02
"35",0.00136912751677852,0.015,"seagrass",168.54,0.64,1.65,3324.72,0.02
"36",0.00140939597315436,0.015,"seagrass",164.04,0.63,1.61,3261.83,0.02
"37",0.0014496644295302,0.015,"seagrass",159.74,0.63,1.58,3201.58,0.02
"38",0.00148993288590604,0.015,"seagrass",155.64,0.62,1.54,3143.81,0.02
"39",0.00153020134228188,0.015,"seagrass",151.73,0.62,1.51,3088.35,0.02
"40",0.00157046979865772,0.015,"seagrass",147.99,0.61,1.48,3035.07,0.02
"41",0.00161073825503356,0.015,"seagrass",144.41,0.61,1.45,2983.82,0.02
"42",0.0016510067114094,0.015,"seagrass",140.98,0.6,1.42,2934.48,0.02
"43",0.00169127516778524,0.015,"seagrass",137.69,0.6,1.39,2886.94,0.02
"44",0.00173154362416107,0.015,"bistable",134.54,0.59,1.37,2841.1,0.02
"45",0.00177181208053691,0.015,"bistable",131.51,0.59,1.34,2796.85,0.02
"46",0.00181208053691275,0.015,"bistable",128.6,0.58,1.32,2754.11,0.02
"47",0.00185234899328859,0.015,"bistable",125.8,0.58,1.29,2712.78,0.02
"48",0.00189261744966443,0.015,"bistable",123.1,0.58,1.27,2672.8,0.02
"49",0.00193288590604027,0.015,"bistable",120.5,0.57,1.25,2634.09,0.03
"50",0.00197315436241611,0.015,"bistable",118,0.57,1.23,2596.59,0.03
"51",0.00201342281879195,0.015,"bistable",115.58,0.56,1.21,2560.21,0.03
"52",0.00205369127516779,0.015,"bistable",113.25,0.56,1.19,2524.92,0.03
"53",0.00209395973154362,0.015,"bistable",110.99,0.55,1.17,2490.64,0.03
"54",0.00213422818791946,0.015,"bistable",108.81,0.55,1.15,2457.33,0.03
"55",0.0021744966442953,0.015,"bistable",106.7,0.55,1.13,2424.94,0.03
"56",0.00221476510067114,0.015,"bistable",104.66,0.54,1.11,2393.41,0.03
"57",0.00225503355704698,0.015,"bistable",102.68,0.54,1.1,2362.7,0.03
"58",0.00229530201342282,0.015,"bistable",100.75,0.53,1.08,2332.76,0.04
"59",0.00233557046979866,0.015,"bistable",98.89,0.53,1.06,2303.56,0.04
"60",0.0023758389261745,0.015,"bistable",97.08,0.53,1.05,2275.06,0.04
"61",0.00241610738255034,0.015,"bistable",95.31,0.52,1.03,2247.2,0.04
"62",0.00245637583892617,0.015,"bistable",93.59,0.52,1.02,2219.96,0.04
"63",0.00249664429530201,0.015,"bistable",91.92,0.52,1,2193.29,0.04
"64",0.00253691275167785,0.015,"bistable",90.29,0.51,0.99,2167.17,0.05
"65",0.00257718120805369,0.015,"bistable",88.7,0.51,0.98,2141.54,0.05
"66",0.00261744966442953,0.015,"bistable",87.14,0.51,0.96,2116.37,0.05
"67",0.00265771812080537,0.015,"bistable",85.62,0.5,0.95,2091.62,0.05
"68",0.00269798657718121,0.015,"bistable",84.13,0.5,0.94,2067.25,0.05
"69",0.00273825503355705,0.015,"bistable",82.66,0.49,0.92,2043.23,0.06
"70",0.00277852348993289,0.015,"bistable",81.22,0.49,0.91,2019.49,0.06
"71",0.00281879194630873,0.015,"bistable",79.8,0.49,0.9,1995.99,0.06
"72",0.00285906040268456,0.015,"bistable",78.4,0.48,0.89,1972.69,0.07
"73",0.0028993288590604,0.015,"bistable",77.01,0.48,0.87,1949.5,0.07
"74",0.00293959731543624,0.015,"bistable",75.63,0.48,0.86,1926.38,0.08
"75",0.00297986577181208,0.015,"bistable",74.25,0.47,0.85,1903.22,0.08
"76",0.00302013422818792,0.015,"bistable",72.88,0.47,0.84,1879.92,0.09
"77",0.00306040268456376,0.015,"bistable",71.5,0.47,0.82,1856.37,0.09
"78",0.0031006711409396,0.015,"bistable",70.09,0.46,0.81,1832.39,0.1
"79",0.00314093959731544,0.015,"bistable",68.66,0.46,0.8,1807.78,0.11
"80",0.00318120805369128,0.015,"bistable",67.18,0.46,0.78,1782.24,0.12
"81",0.00322147651006711,0.015,"bistable",65.63,0.45,0.77,1755.34,0.13
"82",0.00326174496644295,0.015,"bistable",63.98,0.45,0.76,1726.45,0.14
"83",0.00330201342281879,0.015,"bistable",62.16,0.44,0.74,1694.46,0.16
"84",0.00334228187919463,0.015,"bistable",60.07,0.43,0.72,1657.35,0.18
"85",0.00338255033557047,0.015,"bistable",57.43,0.43,0.7,1610.23,0.21
"86",0.00342281879194631,0.015,"bistable",53.1,0.41,0.65,1531.71,0.27
"87",0.00346308724832215,0.015,"bare",0,0.16,0,235.88,1.15
"88",0.00350335570469799,0.015,"bare",0,0.16,0,235.83,1.15
"89",0.00354362416107383,0.015,"bare",0,0.16,0,235.79,1.15
"90",0.00358389261744966,0.015,"bare",0,0.16,0,235.74,1.15
"91",0.0036241610738255,0.015,"bare",0,0.16,0,235.69,1.15
"92",0.00366442953020134,0.015,"bare",0,0.16,0,235.65,1.15
"93",0.00370469798657718,0.015,"bare",0,0.16,0,235.6,1.15
"94",0.00374496644295302,0.015,"bare",0,0.16,0,235.55,1.15
"95",0.00378523489932886,0.015,"bare",0,0.16,0,235.51,1.15
"96",0.0038255033557047,0.015,"bare",0,0.16,0,235.46,1.15
"97",0.00386577181208054,0.015,"bare",0,0.16,0,235.41,1.15
"98",0.00390604026845638,0.015,"bare",0,0.16,0,235.37,1.15
"99",0.00394630872483222,0.015,"bare",0,0.16,0,235.32,1.15
"100",0.00398657718120805,0.015,"bare",0,0.16,0,235.27,1.15
"101",0.00402684563758389,0.015,"bare",0,0.16,0,235.23,1.15
"102",0.00406711409395973,0.015,"bare",0,0.16,0,235.18,1.15
"103",0.00410738255033557,0.015,"bare",0,0.16,0,235.13,1.15
"104",0.00414765100671141,0.015,"bare",0,0.16,0,235.09,1.15
"105",0.00418791946308725,0.015,"bare",0,0.16,0,235.04,1.15
"106",0.00422818791946309,0.015,"bare",0,0.16,0,234.99,1.15
"107",0.00426845637583893,0.015,"bare",0,0.16,0,234.95,1.15
"108",0.00430872483221477,0.015,"bare",0,0.16,0,234.9,1.15
"109",0.0043489932885906,0.015,"bare",0,0.16,0,234.85,1.15
"110",0.00438926174496644,0.015,"bare",0,0.16,0,234.81,1.15
"111",0.00442953020134228,0.015,"bare",0,0.16,0,234.76,1.15
"112",0.00446979865771812,0.015,"bare",0,0.16,0,234.71,1.15
"113",0.00451006711409396,0.015,"bare",0,0.16,0,234.67,1.15
"114",0.0045503355704698,0.015,"bare",0,0.16,0,234.62,1.15
"115",0.00459060402684564,0.015,"bare",0,0.16,0,234.57,1.15
"116",0.00463087248322148,0.015,"bare",0,0.16,0,234.53,1.15
"117",0.00467114093959732,0.015,"bare",0,0.16,0,234.48,1.15
"118",0.00471140939597316,0.015,"bare",0,0.16,0,234.43,1.15
"119",0.00475167785234899,0.015,"bare",0,0.16,0,234.39,1.15
"120",0.00479194630872483,0.015,"bare",0,0.16,0,234.34,1.15
"121",0.00483221476510067,0.015,"bare",0,0.16,0,234.3,1.15
"122",0.00487248322147651,0.015,"bare",0,0.16,0,234.25,1.15
"123",0.00491275167785235,0.015,"bare",0,0.16,0,234.2,1.15
"124",0.00495302013422819,0.015,"bare",0,0.16,0,234.16,1.15
"125",0.00499328859060403,0.015,"bare",0,0.16,0,234.11,1.15
"126",0.00503355704697987,0.015,"bare",0,0.16,0,234.06,1.15
"127",0.0050738255033557,0.015,"bare",0,0.16,0,234.02,1.15
"128",0.00511409395973154,0.015,"bare",0,0.16,0,233.97,1.15
"129",0.00515436241610738,0.015,"bare",0,0.16,0,233.93,1.15
"130",0.00519463087248322,0.015,"bare",0,0.16,0,233.88,1.15
"131",0.00523489932885906,0.015,"bare",0,0.16,0,233.83,1.15
"132",0.0052751677852349,0.015,"bare",0,0.16,0,233.79,1.15
"133",0.00531543624161074,0.015,"bare",0,0.16,0,233.74,1.15
"134",0.00535570469798658,0.015,"bare",0,0.16,0,233.69,1.15
"135",0.00539597315436242,0.015,"bare",0,0.16,0,233.65,1.15
"136",0.00543624161073826,0.015,"bare",0,0.16,0,233.6,1.15
"137",0.00547651006711409,0.015,"bare",0,0.16,0,233.56,1.15
"138",0.00551677852348993,0.015,"bare",0,0.16,0,233.51,1.15
"139",0.00555704697986577,0.015,"bare",0,0.16,0,233.46,1.15
"140",0.00559731543624161,0.015,"bare",0,0.16,0,233.42,1.15
"141",0.00563758389261745,0.015,"bare",0,0.16,0,233.37,1.15
"142",0.00567785234899329,0.015,"bare",0,0.16,0,233.33,1.15
"143",0.00571812080536913,0.015,"bare",0,0.16,0,233.28,1.15
"144",0.00575838926174497,0.015,"bare",0,0.16,0,233.23,1.15
"145",0.00579865771812081,0.015,"bare",0,0.16,0,233.19,1.15
"146",0.00583892617449664,0.015,"bare",0,0.16,0,233.14,1.15
"147",0.00587919463087248,0.015,"bare",0,0.16,0,233.1,1.15
"148",0.00591946308724832,0.015,"bare",0,0.16,0,233.05,1.15
"149",0.00595973154362416,0.015,"bare",0,0.16,0,233.01,1.15
"150",0.006,0.015,"bare",0,0.16,0,232.96,1.15
"151",0,0.0155704697986577,"seagrass",1026.66,0.89,8.47,13897.04,0.01
"152",4.02684563758389e-05,0.0155704697986577,"seagrass",907.92,0.88,7.54,12477.97,0.01
"153",8.05369127516779e-05,0.0155704697986577,"seagrass",812.96,0.87,6.8,11340.04,0.01
"154",0.000120805369127517,0.0155704697986577,"seagrass",735.3,0.86,6.19,10406.75,0.01
"155",0.000161073825503356,0.0155704697986577,"seagrass",670.63,0.85,5.67,9627.09,0.01
"156",0.000201342281879195,0.0155704697986577,"seagrass",615.95,0.84,5.24,8965.68,0.01
"157",0.000241610738255034,0.0155704697986577,"seagrass",569.11,0.83,4.87,8397.27,0.01
"158",0.000281879194630873,0.0155704697986577,"seagrass",528.56,0.82,4.55,7903.31,0.01
"159",0.000322147651006711,0.0155704697986577,"seagrass",493.12,0.82,4.27,7469.89,0.01
"160",0.00036241610738255,0.0155704697986577,"seagrass",461.88,0.81,4.02,7086.38,0.01
"161",0.000402684563758389,0.0155704697986577,"seagrass",434.14,0.8,3.8,6744.48,0.01
"162",0.000442953020134228,0.0155704697986577,"seagrass",409.36,0.79,3.6,6437.67,0.01
"163",0.000483221476510067,0.0155704697986577,"seagrass",387.08,0.78,3.42,6160.7,0.01
"164",0.000523489932885906,0.0155704697986577,"seagrass",366.96,0.78,3.26,5909.34,0.01
"165",0.000563758389261745,0.0155704697986577,"seagrass",348.68,0.77,3.11,5680.12,0.01
"166",0.000604026845637584,0.0155704697986577,"seagrass",332.02,0.76,2.98,5470.18,0.01
"167",0.000644295302013423,0.0155704697986577,"seagrass",316.78,0.75,2.85,5277.11,0.01
"168",0.000684563758389262,0.0155704697986577,"seagrass",302.77,0.75,2.74,5098.92,0.01
"169",0.000724832214765101,0.0155704697986577,"seagrass",289.87,0.74,2.64,4933.9,0.01
"170",0.00076510067114094,0.0155704697986577,"seagrass",277.93,0.73,2.54,4780.6,0.01
"171",0.000805369127516779,0.0155704697986577,"seagrass",266.87,0.72,2.45,4637.79,0.01
