"","temp","nr","stability","S","CA","CS","CB","N"
"1",298.85,0.015,"seagrass",1026.77,0.89,8.47,13898.41,0
"2",298.912416107383,0.015,"seagrass",1026.77,0.88,8.47,13829.09,0
"3",298.974832214765,0.015,"seagrass",1026.77,0.88,8.47,13760.15,0
"4",299.037248322148,0.015,"seagrass",1026.77,0.88,8.47,13691.56,0
"5",299.09966442953,0.015,"seagrass",1026.78,0.88,8.47,13623.34,0
"6",299.162080536913,0.015,"seagrass",1026.78,0.88,8.47,13555.48,0
"7",299.224496644295,0.015,"seagrass",1026.78,0.88,8.47,13487.98,0
"8",299.286912751678,0.015,"seagrass",1026.78,0.88,8.47,13420.83,0
"9",299.34932885906,0.015,"seagrass",1026.78,0.88,8.47,13354.04,0
"10",299.411744966443,0.015,"seagrass",1026.78,0.88,8.47,13287.6,0
"11",299.474161073826,0.015,"seagrass",1026.78,0.87,8.47,13221.51,0
"12",299.536577181208,0.015,"seagrass",1026.77,0.87,8.47,13155.76,0
"13",299.598993288591,0.015,"seagrass",1026.77,0.87,8.47,13090.37,0
"14",299.661409395973,0.015,"seagrass",1026.77,0.87,8.47,13025.32,0
"15",299.723825503356,0.015,"seagrass",1026.77,0.87,8.47,12960.61,0
"16",299.786241610738,0.015,"seagrass",1026.77,0.87,8.47,12896.24,0
"17",299.848657718121,0.015,"seagrass",1026.76,0.87,8.47,12832.21,0
"18",299.911073825503,0.015,"seagrass",1026.76,0.87,8.47,12768.51,0
"19",299.973489932886,0.015,"seagrass",1026.76,0.87,8.47,12705.15,0
"20",300.035906040268,0.015,"seagrass",1026.76,0.86,8.47,12642.12,0
"21",300.098322147651,0.015,"seagrass",1026.75,0.86,8.47,12579.43,0
"22",300.160738255034,0.015,"seagrass",1026.75,0.86,8.47,12517.06,0
"23",300.223154362416,0.015,"seagrass",1026.74,0.86,8.47,12455.01,0
"24",300.285570469799,0.015,"seagrass",1026.74,0.86,8.47,12393.3,0
"25",300.347986577181,0.015,"seagrass",1026.73,0.86,8.47,12331.9,0
"26",300.410402684564,0.015,"seagrass",1026.73,0.86,8.47,12270.83,0
"27",300.472818791946,0.015,"seagrass",1026.72,0.86,8.47,12210.07,0.01
"28",300.535234899329,0.015,"seagrass",1026.72,0.86,8.47,12149.63,0.01
"29",300.597651006711,0.015,"seagrass",1026.71,0.85,8.47,12089.51,0.01
"30",300.660067114094,0.015,"seagrass",1026.7,0.85,8.47,12029.7,0.01
"31",300.722483221477,0.015,"seagrass",1026.69,0.85,8.47,11970.21,0.01
"32",300.784899328859,0.015,"seagrass",1026.69,0.85,8.47,11911.02,0.01
"33",300.847315436242,0.015,"seagrass",1026.68,0.85,8.47,11852.14,0.01
"34",300.909731543624,0.015,"seagrass",1026.67,0.85,8.47,11793.57,0.01
"35",300.972147651007,0.015,"seagrass",1026.66,0.85,8.47,11735.3,0.01
"36",301.034563758389,0.015,"seagrass",1026.65,0.85,8.47,11677.33,0.01
"37",301.096979865772,0.015,"seagrass",1026.64,0.85,8.47,11619.67,0.01
"38",301.159395973154,0.015,"seagrass",1026.63,0.84,8.47,11562.3,0.01
"39",301.221812080537,0.015,"seagrass",1026.62,0.84,8.47,11505.23,0.01
"40",301.284228187919,0.015,"seagrass",1026.6,0.84,8.47,11448.46,0.01
"41",301.346644295302,0.015,"seagrass",1026.59,0.84,8.47,11391.98,0.01
"42",301.409060402685,0.015,"seagrass",1026.58,0.84,8.47,11335.79,0.01
"43",301.471476510067,0.015,"seagrass",1026.56,0.84,8.47,11279.89,0.01
"44",301.53389261745,0.015,"seagrass",1026.55,0.84,8.47,11224.28,0.01
"45",301.596308724832,0.015,"seagrass",1026.53,0.84,8.46,11168.95,0.01
"46",301.658724832215,0.015,"seagrass",1026.52,0.84,8.46,11113.91,0.01
"47",301.721140939597,0.015,"seagrass",1026.5,0.83,8.46,11059.16,0.01
"48",301.78355704698,0.015,"seagrass",1026.48,0.83,8.46,11004.68,0.01
"49",301.845973154362,0.015,"seagrass",1026.46,0.83,8.46,10950.48,0.01
"50",301.908389261745,0.015,"seagrass",1026.44,0.83,8.46,10896.56,0.01
"51",301.970805369128,0.015,"seagrass",1026.42,0.83,8.46,10842.92,0.01
"52",302.03322147651,0.015,"seagrass",1026.4,0.83,8.46,10789.55,0.01
"53",302.095637583893,0.015,"seagrass",1026.38,0.83,8.46,10736.45,0.01
"54",302.158053691275,0.015,"seagrass",1026.36,0.83,8.46,10683.62,0.01
"55",302.220469798658,0.015,"seagrass",1026.33,0.83,8.46,10631.06,0.01
"56",302.28288590604,0.015,"seagrass",1026.31,0.82,8.46,10578.77,0.01
"57",302.345302013423,0.015,"seagrass",1026.28,0.82,8.46,10526.74,0.01
"58",302.407718120805,0.015,"seagrass",1026.26,0.82,8.46,10474.98,0.01
"59",302.470134228188,0.015,"seagrass",1026.23,0.82,8.46,10423.47,0.01
"60",302.53255033557,0.015,"seagrass",1026.2,0.82,8.46,10372.22,0.01
"61",302.594966442953,0.015,"seagrass",1026.17,0.82,8.46,10321.24,0.01
"62",302.657382550336,0.015,"seagrass",1026.13,0.82,8.46,10270.5,0.01
"63",302.719798657718,0.015,"seagrass",1026.1,0.82,8.46,10220.02,0.01
"64",302.782214765101,0.015,"seagrass",1026.06,0.81,8.46,10169.79,0.01
"65",302.844630872483,0.015,"seagrass",1026.03,0.81,8.46,10119.81,0.01
"66",302.907046979866,0.015,"seagrass",1025.99,0.81,8.46,10070.08,0.01
"67",302.969463087248,0.015,"seagrass",1025.95,0.81,8.46,10020.59,0.01
"68",303.031879194631,0.015,"seagrass",1025.9,0.81,8.46,9971.34,0.01
"69",303.094295302013,0.015,"seagrass",1025.86,0.81,8.46,9922.34,0.01
"70",303.156711409396,0.015,"seagrass",1025.81,0.81,8.46,9873.57,0.01
"71",303.219127516779,0.015,"seagrass",1025.76,0.81,8.46,9825.04,0.01
"72",303.281543624161,0.015,"seagrass",1025.71,0.81,8.45,9776.75,0.01
"73",303.343959731544,0.015,"seagrass",1025.65,0.8,8.45,9728.68,0.01
"74",303.406375838926,0.015,"seagrass",1025.6,0.8,8.45,9680.85,0.01
"75",303.468791946309,0.015,"seagrass",1025.54,0.8,8.45,9633.24,0.01
"76",303.531208053691,0.015,"seagrass",1025.47,0.8,8.45,9585.85,0.01
"77",303.593624161074,0.015,"seagrass",1025.41,0.8,8.45,9538.68,0.01
"78",303.656040268456,0.015,"seagrass",1025.34,0.8,8.45,9491.73,0.01
"79",303.718456375839,0.015,"seagrass",1025.26,0.8,8.45,9445,0.01
"80",303.780872483221,0.015,"seagrass",1025.18,0.8,8.45,9398.48,0.01
"81",303.843288590604,0.015,"seagrass",1025.1,0.79,8.45,9352.16,0.01
"82",303.905704697987,0.015,"bistable",1025.01,0.79,8.45,9306.05,0.01
"83",303.968120805369,0.015,"bistable",1024.92,0.79,8.45,9260.14,0.01
"84",304.030536912752,0.015,"bistable",1024.82,0.79,8.45,9214.42,0.01
"85",304.092953020134,0.015,"bistable",1024.71,0.79,8.44,9168.89,0.01
"86",304.155369127517,0.015,"bistable",1024.6,0.79,8.44,9123.55,0.01
"87",304.217785234899,0.015,"bistable",1024.48,0.79,8.44,9078.39,0.01
"88",304.280201342282,0.015,"bistable",1024.35,0.79,8.44,9033.4,0.01
"89",304.342617449664,0.015,"bistable",1024.21,0.78,8.44,8988.58,0.01
"90",304.405033557047,0.015,"bistable",1024.06,0.78,8.44,8943.92,0.01
"91",304.46744966443,0.015,"bistable",1023.9,0.78,8.44,8899.41,0.01
"92",304.529865771812,0.015,"bistable",1023.73,0.78,8.44,8855.04,0.01
"93",304.592281879195,0.015,"bistable",1023.55,0.78,8.43,8810.8,0.01
"94",304.654697986577,0.015,"bistable",1023.35,0.78,8.43,8766.68,0.01
"95",304.71711409396,0.015,"bistable",1023.13,0.78,8.43,8722.67,0.01
"96",304.779530201342,0.015,"bistable",1022.9,0.78,8.43,8678.74,0.01
"97",304.841946308725,0.015,"bistable",1022.64,0.78,8.43,8634.88,0.01
"98",304.904362416107,0.015,"bistable",1022.35,0.77,8.42,8591.07,0.01
"99",304.96677852349,0.015,"bistable",1022.04,0.77,8.42,8547.28,0.01
"100",305.029194630872,0.015,"bistable",1021.7,0.77,8.42,8503.48,0.01
"101",305.091610738255,0.015,"bistable",1021.31,0.77,8.42,8459.63,0.01
"102",305.154026845638,0.015,"bistable",1020.88,0.77,8.41,8415.68,0.01
"103",305.21644295302,0.015,"bistable",1020.4,0.77,8.41,8371.57,0.02
"104",305.278859060403,0.015,"bistable",1019.85,0.77,8.4,8327.24,0.02
"105",305.341275167785,0.015,"bistable",1019.22,0.77,8.4,8282.58,0.02
"106",305.403691275168,0.015,"bistable",1018.49,0.76,8.39,8237.48,0.02
"107",305.46610738255,0.015,"bistable",1017.65,0.76,8.39,8191.76,0.02
