"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",22.7,0,"bistable",1470.05,380.29,0,0.88,0.71,0.11,12.07,3.52,0,19365.54,6212.71,162.15,14.13,15.79,16.02
"2",1e+06,0,"seagrass",707,NA,0,0.11,NA,0.11,17.98,NA,0,27354.5,NA,162.15,54.02,NA,61.68
"3",22.7,1.34228187919463e-05,"bistable",1340.89,414.79,0,0.87,0.72,0.11,11.17,3.83,0,17979.3,6692.73,162.14,14.32,15.74,16.02
"4",1e+06,1.34228187919463e-05,"seagrass",693.18,NA,0,0.11,NA,0.11,17.68,NA,0,26882.22,NA,162.14,54.15,NA,61.68
"5",22.7,2.68456375838926e-05,"bistable",1202.64,460.15,0,0.86,0.74,0.11,10.18,4.23,0,16451.22,7314.92,162.13,14.52,15.68,16.02
"6",1e+06,2.68456375838926e-05,"seagrass",679.43,NA,0,0.11,NA,0.11,17.38,NA,0,26410.3,NA,162.13,54.28,NA,61.68
"7",22.7,4.02684563758389e-05,"bistable",1044.32,527.3,0,0.85,0.76,0.11,9,4.81,0,14641.71,8218.89,162.12,14.76,15.57,16.02
"8",1e+06,4.02684563758389e-05,"seagrass",665.76,NA,0,0.11,NA,0.11,17.08,NA,0,25938.74,NA,162.12,54.41,NA,61.68
"9",22.7,5.36912751677852e-05,"bistable",775.11,707.03,0,0.82,0.81,0.11,6.89,6.33,0,11404.62,10550.78,162.11,15.18,15.29,16.02
"10",1e+06,5.36912751677852e-05,"seagrass",652.15,NA,0,0.11,NA,0.11,16.78,NA,0,25467.54,NA,162.11,54.54,NA,61.68
"11",22.7,6.71140939597316e-05,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,162.1,NA,NA,16.02
"12",1e+06,6.71140939597316e-05,"seagrass",638.61,NA,0,0.11,NA,0.11,16.47,NA,0,24996.71,NA,162.1,54.67,NA,61.68
