"","sh","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",22.7,0.5,"bistable",1470.05,380.29,0,0.88,0.71,0.11,12.07,3.52,0,19365.54,6212.71,162.15,14.13,15.79,16.02
"2",1e+06,0.5,"seagrass",707,NA,0,0.11,NA,0.11,17.98,NA,0,27354.5,NA,162.15,54.02,NA,61.68
"3",22.7,0.51006711409396,"bistable",1452.95,386.8,0,0.89,0.73,0.11,11.93,3.57,0,19188.66,6316.02,165.42,14.17,15.8,16.02
"4",1e+06,0.51006711409396,"seagrass",693.87,NA,0,0.11,NA,0.11,17.65,NA,0,26849.53,NA,165.42,54.16,NA,61.68
"5",22.7,0.520134228187919,"bistable",1435.41,393.61,0,0.91,0.74,0.12,11.8,3.63,0,19006.45,6423.05,168.68,14.22,15.8,16.03
"6",1e+06,0.520134228187919,"seagrass",680.64,NA,0,0.11,NA,0.12,17.33,NA,0,26341.25,NA,168.68,54.3,NA,61.68
"7",22.7,0.530201342281879,"bistable",1417.4,400.73,0,0.93,0.76,0.12,11.66,3.68,0,18818.59,6534.12,171.95,14.26,15.81,16.03
"8",1e+06,0.530201342281879,"seagrass",667.33,NA,0,0.12,NA,0.12,17,NA,0,25829.61,NA,171.95,54.45,NA,61.68
"9",22.7,0.540268456375839,"bistable",1398.9,408.19,0,0.94,0.78,0.12,11.52,3.74,0,18624.73,6649.57,175.21,14.31,15.81,16.03
"10",1e+06,0.540268456375839,"seagrass",653.93,NA,0,0.12,NA,0.12,16.66,NA,0,25314.62,NA,175.21,54.59,NA,61.68
"11",22.7,0.550335570469799,"bistable",1379.87,416.03,0,0.96,0.8,0.12,11.37,3.81,0,18424.47,6769.79,178.48,14.36,15.82,16.03
"12",1e+06,0.550335570469799,"seagrass",640.44,NA,0,0.12,NA,0.12,16.33,NA,0,24796.25,NA,178.48,54.74,NA,61.69
"13",22.7,0.560402684563758,"bistable",1360.27,424.28,0,0.98,0.82,0.12,11.22,3.87,0,18217.34,6895.22,181.74,14.4,15.82,16.03
"14",1e+06,0.560402684563758,"seagrass",626.86,NA,0,0.12,NA,0.12,15.99,NA,0,24274.48,NA,181.74,54.89,NA,61.69
"15",22.7,0.570469798657718,"bistable",1340.06,432.99,0,0.99,0.83,0.13,11.06,3.94,0,18002.8,7026.41,185.01,14.45,15.82,16.04
"16",1e+06,0.570469798657718,"seagrass",613.18,NA,0,0.12,NA,0.13,15.65,NA,0,23749.29,NA,185.01,55.04,NA,61.69
"17",22.7,0.580536912751678,"bistable",1319.2,442.21,0,1.01,0.85,0.13,10.9,4.02,0,17780.23,7163.96,188.27,14.5,15.83,16.04
"18",1e+06,0.580536912751678,"seagrass",599.41,NA,0,0.13,NA,0.13,15.31,NA,0,23220.67,NA,188.27,55.19,NA,61.69
"19",22.7,0.590604026845638,"bistable",1297.6,451.99,0,1.02,0.87,0.13,10.73,4.09,0,17548.88,7308.62,191.54,14.55,15.83,16.04
"20",1e+06,0.590604026845638,"seagrass",585.56,NA,0,0.13,NA,0.13,14.96,NA,0,22688.59,NA,191.54,55.34,NA,61.69
"21",22.7,0.600671140939597,"bistable",1275.22,462.41,0,1.04,0.89,0.13,10.56,4.18,0,17307.85,7461.25,194.8,14.61,15.83,16.04
"22",1e+06,0.600671140939597,"seagrass",571.6,NA,0,0.13,NA,0.13,14.62,NA,0,22153.04,NA,194.8,55.49,NA,61.7
"23",22.7,0.610738255033557,"bistable",1251.95,473.55,0,1.06,0.91,0.14,10.38,4.27,0,17056.06,7622.95,198.07,14.66,15.83,16.04
"24",1e+06,0.610738255033557,"seagrass",557.56,NA,0,0.13,NA,0.14,14.27,NA,0,21614,NA,198.07,55.64,NA,61.7
"25",22.7,0.620805369127517,"bistable",1227.68,485.53,0,1.07,0.93,0.14,10.19,4.36,0,16792.16,7795.04,201.33,14.72,15.83,16.05
"26",1e+06,0.620805369127517,"seagrass",543.42,NA,0,0.14,NA,0.14,13.91,NA,0,21071.45,NA,201.33,55.8,NA,61.7
"27",22.7,0.630872483221476,"bistable",1202.28,498.48,0,1.09,0.95,0.14,9.99,4.46,0,16514.45,7979.22,204.6,14.77,15.82,16.05
"28",1e+06,0.630872483221476,"seagrass",529.18,NA,0,0.14,NA,0.14,13.56,NA,0,20525.37,NA,204.6,55.95,NA,61.7
"29",22.7,0.640939597315436,"bistable",1175.56,512.59,0,1.1,0.97,0.14,9.78,4.58,0,16220.73,8177.67,207.86,14.83,15.82,16.05
"30",1e+06,0.640939597315436,"seagrass",514.85,NA,0,0.14,NA,0.14,13.2,NA,0,19975.74,NA,207.86,56.11,NA,61.7
"31",22.7,0.651006711409396,"bistable",1147.28,528.09,0,1.12,0.99,0.14,9.56,4.7,0,15908.04,8393.34,211.13,14.89,15.81,16.05
"32",1e+06,0.651006711409396,"seagrass",500.42,NA,0,0.14,NA,0.14,12.84,NA,0,19422.55,NA,211.13,56.27,NA,61.71
"33",22.7,0.661073825503356,"bistable",1117.12,545.32,0,1.13,1.02,0.15,9.33,4.84,0,15572.3,8630.3,214.39,14.95,15.8,16.05
"34",1e+06,0.661073825503356,"seagrass",485.9,NA,0,0.14,NA,0.15,12.47,NA,0,18865.77,NA,214.39,56.43,NA,61.71
"35",22.7,0.671140939597315,"bistable",1084.56,564.76,0,1.14,1.04,0.15,9.08,4.99,0,15207.52,8894.53,217.66,15.02,15.79,16.06
"36",1e+06,0.671140939597315,"seagrass",471.28,NA,0,0.15,NA,0.15,12.1,NA,0,18305.39,NA,217.66,56.59,NA,61.71
"37",22.7,0.681208053691275,"bistable",1048.86,587.2,0,1.16,1.06,0.15,8.8,5.17,0,14804.27,9195.44,220.92,15.09,15.78,16.06
"38",1e+06,0.681208053691275,"seagrass",456.56,NA,0,0.15,NA,0.15,11.73,NA,0,17741.38,NA,220.92,56.75,NA,61.71
"39",22.7,0.691275167785235,"bistable",1008.64,613.97,0,1.17,1.09,0.15,8.48,5.38,0,14346.13,9549.45,224.19,15.17,15.75,16.06
"40",1e+06,0.691275167785235,"seagrass",441.74,NA,0,0.15,NA,0.15,11.36,NA,0,17173.73,NA,224.19,56.91,NA,61.71
"41",22.7,0.701342281879195,"bistable",961.12,647.89,0,1.18,1.11,0.16,8.11,5.65,0,13798.94,9990.7,227.45,15.26,15.72,16.06
