"","sh","temp","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",22.7,298.85,"bistable",1470.05,380.29,0,0.88,0.71,0.11,12.07,3.52,0,19365.54,6212.71,162.15,14.13,15.79,16.02
"2",1e+06,298.85,"seagrass",707,NA,0,0.11,NA,0.11,17.98,NA,0,27354.5,NA,162.15,54.02,NA,61.68
"3",22.7,298.884563758389,"bistable",1469.94,380.32,0,0.88,0.71,0.11,12.06,3.52,0,19311.08,6195.63,161.62,14.13,15.79,16.02
"4",1e+06,298.884563758389,"seagrass",706.96,NA,0,0.11,NA,0.11,17.97,NA,0,27278.79,NA,161.62,54.02,NA,61.68
"5",22.7,298.919127516779,"bistable",1469.62,380.42,0,0.87,0.71,0.11,12.06,3.52,0,19254.25,6179.43,161.09,14.13,15.79,16.02
"6",1e+06,298.919127516779,"seagrass",706.82,NA,0,0.11,NA,0.11,17.97,NA,0,27199.72,NA,161.09,54.02,NA,61.68
"7",22.7,298.953691275168,"bistable",1469.09,380.58,0,0.87,0.71,0.11,12.06,3.52,0,19195.06,6164.1,160.57,14.13,15.79,16.02
"8",1e+06,298.953691275168,"seagrass",706.59,NA,0,0.11,NA,0.11,17.97,NA,0,27117.27,NA,160.57,54.02,NA,61.68
"9",22.7,298.988255033557,"bistable",1468.34,380.81,0,0.87,0.71,0.11,12.05,3.52,0,19133.49,6149.65,160.04,14.13,15.79,16.02
"10",1e+06,298.988255033557,"seagrass",706.26,NA,0,0.11,NA,0.11,17.96,NA,0,27031.47,NA,160.04,54.03,NA,61.68
"11",22.7,299.022818791946,"bistable",1467.36,381.11,0,0.87,0.71,0.11,12.04,3.53,0,19069.55,6136.08,159.52,14.13,15.79,16.02
"12",1e+06,299.022818791946,"seagrass",705.84,NA,0,0.11,NA,0.11,17.95,NA,0,26942.29,NA,159.52,54.03,NA,61.68
"13",22.7,299.057382550336,"bistable",1466.17,381.48,0,0.87,0.71,0.11,12.03,3.53,0,19003.22,6123.41,159,14.13,15.79,16.02
"14",1e+06,299.057382550336,"seagrass",705.32,NA,0,0.11,NA,0.11,17.93,NA,0,26849.74,NA,159,54.04,NA,61.68
"15",22.7,299.091946308725,"bistable",1464.75,381.92,0,0.87,0.71,0.11,12.02,3.53,0,18934.5,6111.62,158.48,14.14,15.79,16.02
"16",1e+06,299.091946308725,"seagrass",704.71,NA,0,0.11,NA,0.11,17.92,NA,0,26753.81,NA,158.48,54.04,NA,61.68
"17",22.7,299.126510067114,"bistable",1463.1,382.43,0,0.87,0.71,0.11,12.01,3.54,0,18863.38,6100.73,157.96,14.14,15.79,16.02
"18",1e+06,299.126510067114,"seagrass",703.99,NA,0,0.11,NA,0.11,17.9,NA,0,26654.5,NA,157.96,54.05,NA,61.68
"19",22.7,299.161073825503,"bistable",1461.23,383.01,0,0.87,0.71,0.11,12,3.54,0,18789.85,6090.76,157.45,14.14,15.79,16.02
"20",1e+06,299.161073825503,"seagrass",703.18,NA,0,0.11,NA,0.11,17.88,NA,0,26551.81,NA,157.45,54.06,NA,61.68
"21",22.7,299.195637583893,"bistable",1459.12,383.66,0,0.87,0.71,0.11,11.98,3.55,0,18713.9,6081.69,156.93,14.15,15.79,16.02
"22",1e+06,299.195637583893,"seagrass",702.27,NA,0,0.11,NA,0.11,17.86,NA,0,26445.74,NA,156.93,54.07,NA,61.68
"23",22.7,299.230201342282,"bistable",1456.77,384.39,0,0.87,0.71,0.11,11.96,3.55,0,18635.52,6073.56,156.42,14.15,15.79,16.02
"24",1e+06,299.230201342282,"seagrass",701.26,NA,0,0.11,NA,0.11,17.83,NA,0,26336.27,NA,156.42,54.08,NA,61.68
"25",22.7,299.264765100671,"bistable",1454.19,385.2,0,0.87,0.71,0.11,11.94,3.56,0,18554.68,6066.37,155.91,14.15,15.79,16.02
"26",1e+06,299.264765100671,"seagrass",700.14,NA,0,0.11,NA,0.11,17.81,NA,0,26223.4,NA,155.91,54.09,NA,61.68
"27",22.7,299.29932885906,"bistable",1451.36,386.09,0,0.87,0.71,0.11,11.92,3.57,0,18471.37,6060.13,155.4,14.16,15.79,16.02
"28",1e+06,299.29932885906,"seagrass",698.92,NA,0,0.11,NA,0.11,17.78,NA,0,26107.13,NA,155.4,54.1,NA,61.68
"29",22.7,299.33389261745,"bistable",1448.29,387.05,0,0.87,0.71,0.11,11.9,3.57,0,18385.58,6054.86,154.89,14.16,15.79,16.02
"30",1e+06,299.33389261745,"seagrass",697.6,NA,0,0.11,NA,0.11,17.74,NA,0,25987.45,NA,154.89,54.12,NA,61.68
"31",22.7,299.368456375839,"bistable",1444.97,388.1,0,0.87,0.71,0.11,11.87,3.58,0,18297.28,6050.58,154.38,14.17,15.79,16.02
"32",1e+06,299.368456375839,"seagrass",696.18,NA,0,0.11,NA,0.11,17.71,NA,0,25864.35,NA,154.38,54.13,NA,61.68
