"","temp","sh","stability","S","CA","CS","CB","N"
"1",298.85,14.2,"seagrass",336.29,0.82,7.96,13034.27,0.04
"2",298.912416107383,14.2,"seagrass",336.29,0.82,7.96,12969.28,0.04
"3",298.974832214765,14.2,"seagrass",336.29,0.82,7.96,12904.57,0.04
"4",299.037248322148,14.2,"seagrass",336.29,0.82,7.96,12840.16,0.04
"5",299.09966442953,14.2,"seagrass",336.28,0.82,7.96,12776.03,0.04
"6",299.162080536913,14.2,"seagrass",336.28,0.82,7.96,12712.19,0.04
"7",299.224496644295,14.2,"seagrass",336.27,0.82,7.96,12648.63,0.04
"8",299.286912751678,14.2,"seagrass",336.26,0.82,7.96,12585.36,0.04
"9",299.34932885906,14.2,"seagrass",336.25,0.81,7.96,12522.36,0.04
"10",299.411744966443,14.2,"seagrass",336.23,0.81,7.96,12459.64,0.04
"11",299.474161073826,14.2,"seagrass",336.22,0.81,7.96,12397.19,0.04
"12",299.536577181208,14.2,"seagrass",336.2,0.81,7.96,12335.01,0.04
"13",299.598993288591,14.2,"seagrass",336.19,0.81,7.96,12273.1,0.04
"14",299.661409395973,14.2,"seagrass",336.17,0.81,7.96,12211.46,0.04
"15",299.723825503356,14.2,"seagrass",336.14,0.81,7.96,12150.08,0.04
"16",299.786241610738,14.2,"seagrass",336.12,0.81,7.96,12088.96,0.04
"17",299.848657718121,14.2,"seagrass",336.09,0.81,7.96,12028.09,0.04
"18",299.911073825503,14.2,"seagrass",336.06,0.81,7.96,11967.48,0.04
"19",299.973489932886,14.2,"seagrass",336.03,0.8,7.96,11907.12,0.04
"20",300.035906040268,14.2,"seagrass",336,0.8,7.95,11847.01,0.04
"21",300.098322147651,14.2,"seagrass",335.96,0.8,7.95,11787.13,0.04
"22",300.160738255034,14.2,"seagrass",335.92,0.8,7.95,11727.5,0.04
"23",300.223154362416,14.2,"seagrass",335.88,0.8,7.95,11668.1,0.04
"24",300.285570469799,14.2,"seagrass",335.84,0.8,7.95,11608.94,0.04
"25",300.347986577181,14.2,"seagrass",335.79,0.8,7.95,11550,0.04
"26",300.410402684564,14.2,"seagrass",335.74,0.8,7.95,11491.28,0.04
"27",300.472818791946,14.2,"seagrass",335.69,0.8,7.95,11432.78,0.04
"28",300.535234899329,14.2,"seagrass",335.63,0.8,7.95,11374.49,0.04
"29",300.597651006711,14.2,"seagrass",335.57,0.79,7.94,11316.41,0.04
"30",300.660067114094,14.2,"seagrass",335.51,0.79,7.94,11258.52,0.04
"31",300.722483221477,14.2,"seagrass",335.44,0.79,7.94,11200.84,0.04
"32",300.784899328859,14.2,"seagrass",335.37,0.79,7.94,11143.34,0.04
"33",300.847315436242,14.2,"seagrass",335.29,0.79,7.94,11086.03,0.04
"34",300.909731543624,14.2,"seagrass",335.21,0.79,7.93,11028.89,0.04
"35",300.972147651007,14.2,"seagrass",335.13,0.79,7.93,10971.91,0.04
"36",301.034563758389,14.2,"seagrass",335.04,0.79,7.93,10915.1,0.04
"37",301.096979865772,14.2,"seagrass",334.94,0.79,7.93,10858.43,0.04
"38",301.159395973154,14.2,"seagrass",334.84,0.78,7.93,10801.91,0.04
"39",301.221812080537,14.2,"seagrass",334.73,0.78,7.92,10745.51,0.04
"40",301.284228187919,14.2,"seagrass",334.62,0.78,7.92,10689.24,0.04
"41",301.346644295302,14.2,"seagrass",334.5,0.78,7.92,10633.07,0.04
"42",301.409060402685,14.2,"seagrass",334.37,0.78,7.91,10576.99,0.04
"43",301.471476510067,14.2,"seagrass",334.24,0.78,7.91,10520.99,0.05
"44",301.53389261745,14.2,"seagrass",334.09,0.78,7.91,10465.06,0.05
"45",301.596308724832,14.2,"seagrass",333.94,0.78,7.9,10409.17,0.05
"46",301.658724832215,14.2,"seagrass",333.77,0.78,7.9,10353.31,0.05
"47",301.721140939597,14.2,"seagrass",333.6,0.77,7.9,10297.45,0.05
"48",301.78355704698,14.2,"seagrass",333.41,0.77,7.89,10241.57,0.05
"49",301.845973154362,14.2,"seagrass",333.22,0.77,7.89,10185.65,0.05
"50",301.908389261745,14.2,"seagrass",333,0.77,7.88,10129.66,0.05
"51",301.970805369128,14.2,"seagrass",332.78,0.77,7.88,10073.56,0.05
"52",302.03322147651,14.2,"seagrass",332.53,0.77,7.87,10017.31,0.05
"53",302.095637583893,14.2,"seagrass",332.27,0.77,7.86,9960.89,0.05
"54",302.158053691275,14.2,"seagrass",331.99,0.77,7.86,9904.22,0.06
"55",302.220469798658,14.2,"seagrass",331.68,0.77,7.85,9847.28,0.06
"56",302.28288590604,14.2,"seagrass",331.35,0.76,7.84,9789.98,0.06
"57",302.345302013423,14.2,"seagrass",330.99,0.76,7.83,9732.26,0.06
"58",302.407718120805,14.2,"seagrass",330.6,0.76,7.82,9674.04,0.06
"59",302.470134228188,14.2,"seagrass",330.18,0.76,7.81,9615.22,0.06
"60",302.53255033557,14.2,"seagrass",329.72,0.76,7.8,9555.68,0.07
"61",302.594966442953,14.2,"seagrass",329.21,0.76,7.79,9495.29,0.07
"62",302.657382550336,14.2,"seagrass",328.64,0.76,7.78,9433.88,0.07
"63",302.719798657718,14.2,"seagrass",328.02,0.76,7.76,9371.27,0.07
"64",302.782214765101,14.2,"seagrass",327.33,0.75,7.75,9307.2,0.08
"65",302.844630872483,14.2,"seagrass",326.56,0.75,7.73,9241.4,0.08
"66",302.907046979866,14.2,"seagrass",325.69,0.75,7.71,9173.5,0.09
"67",302.969463087248,14.2,"seagrass",324.71,0.75,7.68,9103.04,0.09
"68",303.031879194631,14.2,"seagrass",323.58,0.75,7.66,9029.44,0.1
"69",303.094295302013,14.2,"seagrass",322.29,0.75,7.63,8951.94,0.1
"70",303.156711409396,14.2,"seagrass",320.78,0.75,7.59,8869.53,0.11
"71",303.219127516779,14.2,"seagrass",319.01,0.74,7.55,8780.88,0.12
"72",303.281543624161,14.2,"seagrass",316.89,0.74,7.5,8684.1,0.13
"73",303.343959731544,14.2,"seagrass",314.32,0.74,7.44,8576.52,0.14
"74",303.406375838926,14.2,"seagrass",311.13,0.74,7.36,8454.21,0.15
"75",303.468791946309,14.2,"seagrass",307.07,0.74,7.27,8311.08,0.17
"76",303.531208053691,14.2,"seagrass",301.75,0.73,7.14,8137.24,0.2
"77",303.593624161074,14.2,"seagrass",294.44,0.73,6.97,7915.42,0.23
"78",303.656040268456,14.2,"seagrass",283.79,0.72,6.72,7612.56,0.28
"79",303.718456375839,14.2,"seagrass",266.84,0.72,6.32,7156.04,0.36
"80",303.780872483221,14.2,"seagrass",235.54,0.7,5.58,6348.18,0.5
"81",303.843288590604,14.2,"seagrass",156.33,0.64,3.71,4351.79,0.84
"82",303.905704697987,14.2,"bare",0,0.15,0,147.27,1.15
"83",303.968120805369,14.2,"bare",0,0.15,0,146.37,1.15
"84",304.030536912752,14.2,"bare",0,0.15,0,145.48,1.15
"85",304.092953020134,14.2,"bare",0,0.15,0,144.59,1.15
"86",304.155369127517,14.2,"bare",0,0.15,0,143.71,1.15
"87",304.217785234899,14.2,"bare",0,0.15,0,142.83,1.15
"88",304.280201342282,14.2,"bare",0,0.15,0,141.96,1.15
"89",304.342617449664,14.2,"bare",0,0.15,0,141.1,1.15
"90",304.405033557047,14.2,"bare",0,0.15,0,140.24,1.15
"91",304.46744966443,14.2,"bare",0,0.15,0,139.38,1.15
"92",304.529865771812,14.2,"bare",0,0.15,0,138.53,1.15
"93",304.592281879195,14.2,"bare",0,0.15,0,137.68,1.15
"94",304.654697986577,14.2,"bare",0,0.15,0,136.84,1.15
"95",304.71711409396,14.2,"bare",0,0.15,0,136,1.15
"96",304.779530201342,14.2,"bare",0,0.15,0,135.17,1.15
"97",304.841946308725,14.2,"bare",0,0.15,0,134.34,1.15
"98",304.904362416107,14.2,"bare",0,0.15,0,133.52,1.15
"99",304.96677852349,14.2,"bare",0,0.15,0,132.7,1.15
"100",305.029194630872,14.2,"bare",0,0.15,0,131.89,1.15
"101",305.091610738255,14.2,"bare",0,0.15,0,131.08,1.15
"102",305.154026845638,14.2,"bare",0,0.14,0,130.28,1.15
"103",305.21644295302,14.2,"bare",0,0.14,0,129.48,1.15
"104",305.278859060403,14.2,"bare",0,0.14,0,128.68,1.15
"105",305.341275167785,14.2,"bare",0,0.14,0,127.89,1.15
"106",305.403691275168,14.2,"bare",0,0.14,0,127.11,1.15
"107",305.46610738255,14.2,"bare",0,0.14,0,126.33,1.15
"108",305.528523489933,14.2,"bare",0,0.14,0,125.55,1.15
"109",305.590939597315,14.2,"bare",0,0.14,0,124.78,1.15
"110",305.653355704698,14.2,"bare",0,0.14,0,124.01,1.15
"111",305.715771812081,14.2,"bare",0,0.14,0,123.25,1.15
"112",305.778187919463,14.2,"bare",0,0.14,0,122.49,1.15
"113",305.840604026846,14.2,"bare",0,0.14,0,121.74,1.15
"114",305.903020134228,14.2,"bare",0,0.14,0,120.99,1.15
"115",305.965436241611,14.2,"bare",0,0.14,0,120.24,1.15
"116",306.027852348993,14.2,"bare",0,0.14,0,119.5,1.15
"117",306.090268456376,14.2,"bare",0,0.14,0,118.76,1.15
"118",306.152684563758,14.2,"bare",0,0.14,0,118.03,1.15
"119",306.215100671141,14.2,"bare",0,0.14,0,117.3,1.15
"120",306.277516778523,14.2,"bare",0,0.14,0,116.58,1.15
"121",306.339932885906,14.2,"bare",0,0.14,0,115.86,1.15
"122",306.402348993289,14.2,"bare",0,0.14,0,115.14,1.15
"123",306.464765100671,14.2,"bare",0,0.14,0,114.43,1.15
"124",306.527181208054,14.2,"bare",0,0.14,0,113.72,1.15
"125",306.589597315436,14.2,"bare",0,0.14,0,113.02,1.15
"126",306.652013422819,14.2,"bare",0,0.14,0,112.32,1.15
"127",306.714429530201,14.2,"bare",0,0.14,0,111.63,1.15
"128",306.776845637584,14.2,"bare",0,0.14,0,110.94,1.15
"129",306.839261744966,14.2,"bare",0,0.14,0,110.25,1.15
"130",306.901677852349,14.2,"bare",0,0.14,0,109.57,1.15
"131",306.964093959732,14.2,"bare",0,0.14,0,108.89,1.15
"132",307.026510067114,14.2,"bare",0,0.14,0,108.21,1.15
"133",307.088926174497,14.2,"bare",0,0.14,0,107.54,1.15
"134",307.151342281879,14.2,"bare",0,0.14,0,106.87,1.15
"135",307.213758389262,14.2,"bare",0,0.14,0,106.21,1.15
"136",307.276174496644,14.2,"bare",0,0.14,0,105.55,1.15
"137",307.338590604027,14.2,"bare",0,0.14,0,104.9,1.15
"138",307.401006711409,14.2,"bare",0,0.14,0,104.24,1.15
"139",307.463422818792,14.2,"bare",0,0.14,0,103.6,1.15
"140",307.525838926174,14.2,"bare",0,0.14,0,102.95,1.15
"141",307.588255033557,14.2,"bare",0,0.14,0,102.31,1.15
"142",307.65067114094,14.2,"bare",0,0.14,0,101.67,1.15
"143",307.713087248322,14.2,"bare",0,0.14,0,101.04,1.15
"144",307.775503355705,14.2,"bare",0,0.14,0,100.41,1.15
"145",307.837919463087,14.2,"bare",0,0.14,0,99.79,1.15
"146",307.90033557047,14.2,"bare",0,0.14,0,99.17,1.15
"147",307.962751677852,14.2,"bare",0,0.13,0,98.55,1.15
"148",308.025167785235,14.2,"bare",0,0.13,0,97.93,1.15
"149",308.087583892617,14.2,"bare",0,0.13,0,97.32,1.15
"150",308.15,14.2,"bare",0,0.13,0,96.71,1.15
"151",298.85,47.661744966443,"seagrass",278.71,0.59,6.52,10500.71,0.04
"152",298.912416107383,47.661744966443,"seagrass",278.71,0.59,6.52,10448.56,0.04
"153",298.974832214765,47.661744966443,"seagrass",278.71,0.58,6.52,10396.63,0.04
"154",299.037248322148,47.661744966443,"seagrass",278.71,0.58,6.52,10344.92,0.04
"155",299.09966442953,47.661744966443,"seagrass",278.71,0.58,6.52,10293.42,0.04
"156",299.162080536913,47.661744966443,"seagrass",278.71,0.58,6.52,10242.13,0.04
"157",299.224496644295,47.661744966443,"seagrass",278.7,0.58,6.52,10191.06,0.04
"158",299.286912751678,47.661744966443,"seagrass",278.69,0.58,6.52,10140.2,0.04
"159",299.34932885906,47.661744966443,"seagrass",278.68,0.58,6.52,10089.54,0.04
"160",299.411744966443,47.661744966443,"seagrass",278.67,0.58,6.52,10039.09,0.04
"161",299.474161073826,47.661744966443,"seagrass",278.66,0.58,6.52,9988.84,0.04
"162",299.536577181208,47.661744966443,"seagrass",278.64,0.58,6.51,9938.8,0.04
"163",299.598993288591,47.661744966443,"seagrass",278.62,0.58,6.51,9888.95,0.04
"164",299.661409395973,47.661744966443,"seagrass",278.6,0.58,6.51,9839.3,0.04
"165",299.723825503356,47.661744966443,"seagrass",278.58,0.58,6.51,9789.84,0.04
"166",299.786241610738,47.661744966443,"seagrass",278.56,0.58,6.51,9740.58,0.04
"167",299.848657718121,47.661744966443,"seagrass",278.53,0.57,6.51,9691.5,0.04
"168",299.911073825503,47.661744966443,"seagrass",278.5,0.57,6.51,9642.6,0.04
"169",299.973489932886,47.661744966443,"seagrass",278.47,0.57,6.51,9593.89,0.04
"170",300.035906040268,47.661744966443,"seagrass",278.43,0.57,6.51,9545.36,0.04
"171",300.098322147651,47.661744966443,"seagrass",278.4,0.57,6.51,9497,0.04
"172",300.160738255034,47.661744966443,"seagrass",278.36,0.57,6.51,9448.82,0.04
"173",300.223154362416,47.661744966443,"seagrass",278.32,0.57,6.51,9400.8,0.04
"174",300.285570469799,47.661744966443,"seagrass",278.27,0.57,6.5,9352.94,0.04
"175",300.347986577181,47.661744966443,"seagrass",278.22,0.57,6.5,9305.25,0.04
"176",300.410402684564,47.661744966443,"seagrass",278.17,0.57,6.5,9257.71,0.04
"177",300.472818791946,47.661744966443,"seagrass",278.12,0.57,6.5,9210.32,0.04
"178",300.535234899329,47.661744966443,"seagrass",278.06,0.57,6.5,9163.08,0.04
"179",300.597651006711,47.661744966443,"seagrass",278,0.57,6.5,9115.97,0.04
"180",300.660067114094,47.661744966443,"seagrass",277.93,0.56,6.5,9069,0.04
"181",300.722483221477,47.661744966443,"seagrass",277.86,0.56,6.49,9022.16,0.04
"182",300.784899328859,47.661744966443,"seagrass",277.79,0.56,6.49,8975.45,0.04
"183",300.847315436242,47.661744966443,"seagrass",277.71,0.56,6.49,8928.84,0.04
"184",300.909731543624,47.661744966443,"seagrass",277.63,0.56,6.49,8882.35,0.04
"185",300.972147651007,47.661744966443,"seagrass",277.54,0.56,6.49,8835.95,0.04
"186",301.034563758389,47.661744966443,"seagrass",277.44,0.56,6.48,8789.65,0.04
"187",301.096979865772,47.661744966443,"seagrass",277.34,0.56,6.48,8743.43,0.04
"188",301.159395973154,47.661744966443,"seagrass",277.24,0.56,6.48,8697.28,0.04
"189",301.221812080537,47.661744966443,"seagrass",277.12,0.56,6.48,8651.2,0.04
"190",301.284228187919,47.661744966443,"seagrass",277.01,0.56,6.47,8605.16,0.04
"191",301.346644295302,47.661744966443,"seagrass",276.88,0.56,6.47,8559.17,0.04
"192",301.409060402685,47.661744966443,"seagrass",276.74,0.56,6.47,8513.19,0.04
"193",301.471476510067,47.661744966443,"seagrass",276.6,0.55,6.46,8467.23,0.05
"194",301.53389261745,47.661744966443,"seagrass",276.45,0.55,6.46,8421.25,0.05
"195",301.596308724832,47.661744966443,"seagrass",276.29,0.55,6.46,8375.25,0.05
"196",301.658724832215,47.661744966443,"seagrass",276.12,0.55,6.45,8329.21,0.05
"197",301.721140939597,47.661744966443,"seagrass",275.93,0.55,6.45,8283.09,0.05
"198",301.78355704698,47.661744966443,"seagrass",275.74,0.55,6.44,8236.89,0.05
"199",301.845973154362,47.661744966443,"seagrass",275.53,0.55,6.44,8190.56,0.05
"200",301.908389261745,47.661744966443,"seagrass",275.3,0.55,6.43,8144.07,0.05
"201",301.970805369128,47.661744966443,"seagrass",275.06,0.55,6.43,8097.4,0.05
"202",302.03322147651,47.661744966443,"seagrass",274.8,0.55,6.42,8050.51,0.05
"203",302.095637583893,47.661744966443,"seagrass",274.52,0.55,6.41,8003.34,0.05
"204",302.158053691275,47.661744966443,"seagrass",274.23,0.54,6.41,7955.85,0.06
"205",302.220469798658,47.661744966443,"seagrass",273.9,0.54,6.4,7907.98,0.06
"206",302.28288590604,47.661744966443,"seagrass",273.55,0.54,6.39,7859.66,0.06
"207",302.345302013423,47.661744966443,"seagrass",273.17,0.54,6.38,7810.82,0.06
"208",302.407718120805,47.661744966443,"seagrass",272.76,0.54,6.37,7761.36,0.06
"209",302.470134228188,47.661744966443,"seagrass",272.31,0.54,6.36,7711.19,0.06
"210",302.53255033557,47.661744966443,"seagrass",271.82,0.54,6.35,7660.17,0.07
"211",302.594966442953,47.661744966443,"seagrass",271.28,0.54,6.34,7608.17,0.07
"212",302.657382550336,47.661744966443,"seagrass",270.68,0.54,6.32,7555.01,0.07
"213",302.719798657718,47.661744966443,"seagrass",270.02,0.53,6.31,7500.47,0.07
"214",302.782214765101,47.661744966443,"seagrass",269.29,0.53,6.29,7444.3,0.08
"215",302.844630872483,47.661744966443,"seagrass",268.47,0.53,6.27,7386.19,0.08
"216",302.907046979866,47.661744966443,"seagrass",267.54,0.53,6.25,7325.75,0.09
"217",302.969463087248,47.661744966443,"seagrass",266.49,0.53,6.22,7262.47,0.09
"218",303.031879194631,47.661744966443,"seagrass",265.29,0.53,6.2,7195.74,0.1
"219",303.094295302013,47.661744966443,"seagrass",263.92,0.53,6.16,7124.72,0.1
"220",303.156711409396,47.661744966443,"seagrass",262.31,0.52,6.12,7048.34,0.11
"221",303.219127516779,47.661744966443,"seagrass",260.42,0.52,6.08,6965.14,0.12
"222",303.281543624161,47.661744966443,"seagrass",258.16,0.52,6.03,6873.07,0.13
"223",303.343959731544,47.661744966443,"seagrass",255.41,0.52,5.96,6769.26,0.14
"224",303.406375838926,47.661744966443,"seagrass",252,0.51,5.88,6649.4,0.15
"225",303.468791946309,47.661744966443,"seagrass",247.66,0.51,5.78,6506.88,0.17
"226",303.531208053691,47.661744966443,"seagrass",241.96,0.51,5.65,6330.92,0.2
"227",303.593624161074,47.661744966443,"seagrass",234.12,0.5,5.46,6102.67,0.23
"228",303.656040268456,47.661744966443,"seagrass",222.68,0.49,5.19,5785.84,0.28
"229",303.718456375839,47.661744966443,"seagrass",204.4,0.47,4.76,5300.48,0.36
