"","ma","sh","stability","S","CA","CS","CB","N"
"1",0,14.2,"seagrass",657.65,0.18,5.46,8321.12,0
"2",4.02684563758389e-05,14.2,"seagrass",584.64,0.18,4.89,7457.96,0.01
"3",8.05369127516779e-05,14.2,"seagrass",526.21,0.18,4.42,6766.88,0.01
"4",0.000120805369127517,14.2,"seagrass",478.38,0.18,4.04,6201.02,0.01
"5",0.000161073825503356,14.2,"seagrass",438.51,0.18,3.72,5729.13,0.01
"6",0.000201342281879195,14.2,"seagrass",404.76,0.18,3.45,5329.55,0.01
"7",0.000241610738255034,14.2,"seagrass",375.82,0.18,3.22,4986.81,0.01
"8",0.000281879194630873,14.2,"seagrass",350.74,0.18,3.02,4689.56,0.01
"9",0.000322147651006711,14.2,"seagrass",328.78,0.18,2.84,4429.28,0.01
"10",0.00036241610738255,14.2,"seagrass",309.41,0.18,2.69,4199.44,0.01
"11",0.000402684563758389,14.2,"seagrass",292.18,0.18,2.55,3994.99,0.01
"12",0.000442953020134228,14.2,"seagrass",276.77,0.18,2.43,3811.92,0.01
"13",0.000483221476510067,14.2,"seagrass",262.89,0.18,2.31,3647.02,0.01
"14",0.000523489932885906,14.2,"seagrass",250.33,0.18,2.21,3497.7,0.01
"15",0.000563758389261745,14.2,"seagrass",238.91,0.18,2.12,3361.84,0.01
"16",0.000604026845637584,14.2,"seagrass",228.48,0.18,2.04,3237.69,0.01
"17",0.000644295302013423,14.2,"seagrass",218.92,0.18,1.96,3123.78,0.01
"18",0.000684563758389262,14.2,"seagrass",210.12,0.18,1.89,3018.88,0.01
"19",0.000724832214765101,14.2,"seagrass",202,0.18,1.82,2921.95,0.01
"20",0.00076510067114094,14.2,"seagrass",194.48,0.18,1.76,2832.12,0.01
"21",0.000805369127516779,14.2,"seagrass",187.49,0.18,1.71,2748.61,0.01
"22",0.000845637583892618,14.2,"seagrass",180.98,0.18,1.65,2670.78,0.01
"23",0.000885906040268456,14.2,"seagrass",174.9,0.18,1.6,2598.06,0.01
"24",0.000926174496644295,14.2,"seagrass",169.22,0.18,1.56,2529.95,0.01
"25",0.000966442953020134,14.2,"seagrass",163.89,0.18,1.51,2466.02,0.01
"26",0.00100671140939597,14.2,"seagrass",158.88,0.18,1.47,2405.9,0.01
"27",0.00104697986577181,14.2,"seagrass",154.16,0.18,1.43,2349.23,0.01
"28",0.00108724832214765,14.2,"seagrass",149.71,0.18,1.4,2295.74,0.01
"29",0.00112751677852349,14.2,"seagrass",145.51,0.18,1.36,2245.15,0.01
"30",0.00116778523489933,14.2,"seagrass",141.53,0.18,1.33,2197.23,0.01
"31",0.00120805369127517,14.2,"seagrass",137.76,0.18,1.3,2151.77,0.01
"32",0.00124832214765101,14.2,"seagrass",134.18,0.18,1.27,2108.57,0.01
"33",0.00128859060402685,14.2,"seagrass",130.78,0.18,1.24,2067.47,0.01
"34",0.00132885906040268,14.2,"seagrass",127.55,0.18,1.22,2028.32,0.02
"35",0.00136912751677852,14.2,"seagrass",124.46,0.18,1.19,1990.97,0.02
"36",0.00140939597315436,14.2,"seagrass",121.52,0.18,1.17,1955.29,0.02
"37",0.0014496644295302,14.2,"seagrass",118.71,0.18,1.14,1921.18,0.02
"38",0.00148993288590604,14.2,"seagrass",116.02,0.18,1.12,1888.52,0.02
"39",0.00153020134228188,14.2,"seagrass",113.45,0.18,1.1,1857.23,0.02
"40",0.00157046979865772,14.2,"seagrass",110.98,0.18,1.08,1827.21,0.02
"41",0.00161073825503356,14.2,"seagrass",108.62,0.18,1.06,1798.38,0.02
"42",0.0016510067114094,14.2,"seagrass",106.35,0.18,1.04,1770.67,0.02
"43",0.00169127516778524,14.2,"seagrass",104.17,0.18,1.02,1744.02,0.02
"44",0.00173154362416107,14.2,"bistable",102.07,0.18,1.01,1718.35,0.02
"45",0.00177181208053691,14.2,"bistable",100.05,0.18,0.99,1693.61,0.02
"46",0.00181208053691275,14.2,"bistable",98.11,0.18,0.97,1669.74,0.02
