"","pmax","sh","stability","S","CA","CS","CB","N"
"1",0.5,14.2,"seagrass",1011.75,0.82,8.24,13447.25,0
"2",0.513422818791946,14.2,"seagrass",1024.25,0.84,8.34,13628.31,0
"3",0.526845637583893,14.2,"seagrass",1036.76,0.87,8.43,13809.51,0
"4",0.540268456375839,14.2,"seagrass",1049.28,0.89,8.53,13990.84,0
"5",0.553691275167785,14.2,"seagrass",1061.81,0.91,8.63,14172.31,0
"6",0.567114093959732,14.2,"seagrass",1074.34,0.93,8.72,14353.9,0.01
"7",0.580536912751678,14.2,"seagrass",1086.88,0.96,8.82,14535.62,0.01
"8",0.593959731543624,14.2,"seagrass",1099.43,0.98,8.92,14717.45,0.01
"9",0.60738255033557,14.2,"seagrass",1111.99,1,9.02,14899.4,0.01
"10",0.620805369127517,14.2,"seagrass",1124.56,1.02,9.11,15081.46,0.01
"11",0.634228187919463,14.2,"seagrass",1137.13,1.05,9.21,15263.63,0.01
"12",0.647651006711409,14.2,"seagrass",1149.71,1.07,9.31,15445.89,0.01
"13",0.661073825503356,14.2,"seagrass",1162.3,1.09,9.41,15628.26,0.01
"14",0.674496644295302,14.2,"seagrass",1174.89,1.11,9.5,15810.72,0.01
"15",0.687919463087248,14.2,"seagrass",1187.49,1.14,9.6,15993.28,0.01
"16",0.701342281879195,14.2,"seagrass",1200.09,1.16,9.7,16175.92,0.01
"17",0.714765100671141,14.2,"seagrass",1212.7,1.18,9.8,16358.66,0.01
"18",0.728187919463087,14.2,"seagrass",1225.31,1.2,9.89,16541.47,0.01
"19",0.741610738255034,14.2,"seagrass",1237.93,1.23,9.99,16724.37,0.01
"20",0.75503355704698,14.2,"seagrass",1250.56,1.25,10.09,16907.34,0.01
"21",0.768456375838926,14.2,"seagrass",1263.18,1.27,10.19,17090.38,0.01
"22",0.781879194630873,14.2,"seagrass",1275.82,1.29,10.28,17273.5,0.01
"23",0.795302013422819,14.2,"seagrass",1288.46,1.32,10.38,17456.69,0.01
"24",0.808724832214765,14.2,"seagrass",1301.1,1.34,10.48,17639.94,0.01
"25",0.822147651006711,14.2,"seagrass",1313.74,1.36,10.57,17823.26,0.01
"26",0.835570469798658,14.2,"seagrass",1326.39,1.38,10.67,18006.64,0.01
"27",0.848993288590604,14.2,"seagrass",1339.04,1.41,10.77,18190.07,0.01
"28",0.86241610738255,14.2,"seagrass",1351.7,1.43,10.87,18373.57,0.01
"29",0.875838926174497,14.2,"seagrass",1364.36,1.45,10.96,18557.11,0.01
"30",0.889261744966443,14.2,"seagrass",1377.02,1.47,11.06,18740.71,0.01
"31",0.902684563758389,14.2,"seagrass",1389.69,1.5,11.16,18924.35,0.01
"32",0.916107382550336,14.2,"seagrass",1402.35,1.52,11.25,19108.04,0.01
"33",0.929530201342282,14.2,"seagrass",1415.02,1.54,11.35,19291.78,0.01
"34",0.942953020134228,14.2,"seagrass",1427.69,1.56,11.45,19475.55,0.01
"35",0.956375838926175,14.2,"bistable",1440.37,1.59,11.55,19659.36,0.01
"36",0.969798657718121,14.2,"bistable",1453.04,1.61,11.64,19843.21,0.01
"37",0.983221476510067,14.2,"bistable",1465.72,1.63,11.74,20027.1,0.01
"38",0.996644295302013,14.2,"bistable",1478.4,1.65,11.84,20211.01,0.01
"39",1.01006711409396,14.2,"bistable",1491.08,1.68,11.93,20394.95,0.01
"40",1.02348993288591,14.2,"bistable",1503.76,1.7,12.03,20578.92,0.01
"41",1.03691275167785,14.2,"bistable",1516.44,1.72,12.13,20762.91,0.01
"42",1.0503355704698,14.2,"bistable",1529.12,1.75,12.22,20946.93,0.01
"43",1.06375838926175,14.2,"bistable",1541.81,1.77,12.32,21130.96,0.01
"44",1.07718120805369,14.2,"bistable",1554.49,1.79,12.42,21315,0.01
"45",1.09060402684564,14.2,"bistable",1567.17,1.81,12.51,21499.06,0.01
"46",1.10402684563758,14.2,"bistable",1579.85,1.84,12.61,21683.13,0.01
"47",1.11744966442953,14.2,"bistable",1592.54,1.86,12.71,21867.2,0.01
"48",1.13087248322148,14.2,"bistable",1605.22,1.88,12.8,22051.28,0.01
"49",1.14429530201342,14.2,"bistable",1617.9,1.9,12.9,22235.36,0.01
"50",1.15771812080537,14.2,"bistable",1630.58,1.93,12.99,22419.43,0.01
"51",1.17114093959732,14.2,"bistable",1643.25,1.95,13.09,22603.5,0.01
"52",1.18456375838926,14.2,"bistable",1655.93,1.97,13.19,22787.56,0.01
"53",1.19798657718121,14.2,"bistable",1668.6,1.99,13.28,22971.6,0.01
"54",1.21140939597315,14.2,"bistable",1681.27,2.02,13.38,23155.63,0.01
"55",1.2248322147651,14.2,"bistable",1693.94,2.04,13.48,23339.63,0.01
"56",1.23825503355705,14.2,"bistable",1706.6,2.06,13.57,23523.61,0.01
"57",1.25167785234899,14.2,"bistable",1719.27,2.08,13.67,23707.55,0.01
"58",1.26510067114094,14.2,"bistable",1731.92,2.11,13.76,23891.46,0.01
"59",1.27852348993289,14.2,"bistable",1744.58,2.13,13.86,24075.33,0.01
"60",1.29194630872483,14.2,"bistable",1757.22,2.15,13.95,24259.15,0.01
"61",1.30536912751678,14.2,"bistable",1769.87,2.17,14.05,24442.92,0.01
"62",1.31879194630872,14.2,"bistable",1782.5,2.2,14.14,24626.63,0.01
"63",1.33221476510067,14.2,"bistable",1795.13,2.22,14.24,24810.27,0.01
"64",1.34563758389262,14.2,"bistable",1807.76,2.24,14.34,24993.84,0.01
"65",1.35906040268456,14.2,"bistable",1820.37,2.26,14.43,25177.33,0.01
"66",1.37248322147651,14.2,"bistable",1832.98,2.29,14.53,25360.73,0.01
"67",1.38590604026846,14.2,"bistable",1845.58,2.31,14.62,25544.03,0.02
"68",1.3993288590604,14.2,"bistable",1858.16,2.33,14.72,25727.23,0.02
"69",1.41275167785235,14.2,"bistable",1870.74,2.35,14.81,25910.3,0.02
"70",1.4261744966443,14.2,"bistable",1883.31,2.38,14.9,26093.24,0.02
"71",1.43959731543624,14.2,"bistable",1895.86,2.4,15,26276.04,0.02
"72",1.45302013422819,14.2,"bistable",1908.4,2.42,15.09,26458.68,0.02
"73",1.46644295302013,14.2,"bistable",1920.92,2.44,15.19,26641.15,0.02
"74",1.47986577181208,14.2,"bistable",1933.43,2.47,15.28,26823.43,0.02
"75",1.49328859060403,14.2,"bistable",1945.91,2.49,15.37,27005.5,0.02
"76",1.50671140939597,14.2,"bistable",1958.38,2.51,15.47,27187.35,0.02
"77",1.52013422818792,14.2,"bistable",1970.83,2.53,15.56,27368.94,0.02
"78",1.53355704697987,14.2,"bistable",1983.25,2.56,15.65,27550.25,0.02
"79",1.54697986577181,14.2,"bistable",1995.64,2.58,15.75,27731.25,0.02
"80",1.56040268456376,14.2,"bistable",2008.01,2.6,15.84,27911.92,0.02
"81",1.5738255033557,14.2,"bistable",2020.34,2.62,15.93,28092.21,0.02
"82",1.58724832214765,14.2,"bistable",2032.64,2.64,16.02,28272.09,0.03
"83",1.6006711409396,14.2,"bistable",2044.9,2.67,16.12,28451.5,0.03
"84",1.61409395973154,14.2,"bistable",2057.11,2.69,16.21,28630.4,0.03
"85",1.62751677852349,14.2,"bistable",2069.27,2.71,16.3,28808.72,0.03
"86",1.64093959731544,14.2,"bistable",2081.38,2.73,16.39,28986.39,0.03
"87",1.65436241610738,14.2,"bistable",2093.43,2.76,16.48,29163.33,0.03
"88",1.66778523489933,14.2,"bistable",2105.4,2.78,16.57,29339.44,0.03
"89",1.68120805369128,14.2,"bistable",2117.3,2.8,16.66,29514.62,0.03
"90",1.69463087248322,14.2,"bistable",2129.1,2.82,16.74,29688.73,0.04
"91",1.70805369127517,14.2,"bistable",2140.81,2.85,16.83,29861.61,0.04
"92",1.72147651006711,14.2,"bistable",2152.39,2.87,16.92,30033.07,0.04
"93",1.73489932885906,14.2,"bistable",2163.83,2.89,17,30202.88,0.04
"94",1.74832214765101,14.2,"bistable",2175.11,2.91,17.09,30370.77,0.05
"95",1.76174496644295,14.2,"bistable",2186.19,2.94,17.17,30536.39,0.05
"96",1.7751677852349,14.2,"bistable",2197.05,2.96,17.25,30699.3,0.05
"97",1.78859060402685,14.2,"bistable",2207.63,2.98,17.33,30858.96,0.06
"98",1.80201342281879,14.2,"bistable",2217.88,3,17.4,31014.65,0.06
"99",1.81543624161074,14.2,"bistable",2227.72,3.02,17.48,31165.45,0.06
"100",1.82885906040268,14.2,"bistable",2237.04,3.05,17.54,31310.13,0.07
"101",1.84228187919463,14.2,"bistable",2245.7,3.07,17.61,31446.99,0.08
"102",1.85570469798658,14.2,"bistable",2253.5,3.09,17.67,31573.67,0.09
"103",1.86912751677852,14.2,"bistable",2260.15,3.11,17.72,31686.72,0.1
"104",1.88255033557047,14.2,"bistable",2265.22,3.14,17.75,31780.96,0.11
"105",1.89597315436242,14.2,"bistable",2268.01,3.16,17.77,31848.2,0.13
"106",1.90939597315436,14.2,"bistable",2267.36,3.18,17.77,31874.63,0.15
"107",1.92281879194631,14.2,"bistable",2261.16,3.2,17.72,31835.07,0.18
"108",1.93624161073825,14.2,"bistable",2245.05,3.23,17.6,31677.91,0.23
"109",1.9496644295302,14.2,"bistable",2208.41,3.25,17.32,31276.94,0.31
"110",1.96308724832215,14.2,"bistable",2115.38,3.27,16.63,30205.89,0.48
"111",1.97651006711409,14.2,"bare",0,0.65,0,949,1.6
"112",1.98993288590604,14.2,"bare",0,0.66,0,955.44,1.6
"113",2.00335570469799,14.2,"bare",0,0.66,0,961.89,1.61
"114",2.01677852348993,14.2,"bare",0,0.66,0,968.34,1.61
"115",2.03020134228188,14.2,"bare",0,0.67,0,974.79,1.61
"116",2.04362416107383,14.2,"bare",0,0.67,0,981.24,1.62
"117",2.05704697986577,14.2,"bare",0,0.68,0,987.68,1.62
"118",2.07046979865772,14.2,"bare",0,0.68,0,994.13,1.63
"119",2.08389261744966,14.2,"bare",0,0.69,0,1000.58,1.63
"120",2.09731543624161,14.2,"bare",0,0.69,0,1007.03,1.63
"121",2.11073825503356,14.2,"bare",0,0.69,0,1013.48,1.64
"122",2.1241610738255,14.2,"bare",0,0.7,0,1019.92,1.64
"123",2.13758389261745,14.2,"bare",0,0.7,0,1026.37,1.65
"124",2.1510067114094,14.2,"bare",0,0.71,0,1032.82,1.65
"125",2.16442953020134,14.2,"bare",0,0.71,0,1039.27,1.65
"126",2.17785234899329,14.2,"bare",0,0.72,0,1045.72,1.66
"127",2.19127516778523,14.2,"bare",0,0.72,0,1052.16,1.66
"128",2.20469798657718,14.2,"bare",0,0.73,0,1058.61,1.67
"129",2.21812080536913,14.2,"bare",0,0.73,0,1065.06,1.67
"130",2.23154362416107,14.2,"bare",0,0.73,0,1071.51,1.67
"131",2.24496644295302,14.2,"bare",0,0.74,0,1077.96,1.68
"132",2.25838926174497,14.2,"bare",0,0.74,0,1084.41,1.68
"133",2.27181208053691,14.2,"bare",0,0.75,0,1090.85,1.69
"134",2.28523489932886,14.2,"bare",0,0.75,0,1097.3,1.69
"135",2.29865771812081,14.2,"bare",0,0.76,0,1103.75,1.69
"136",2.31208053691275,14.2,"bare",0,0.76,0,1110.2,1.7
"137",2.3255033557047,14.2,"bare",0,0.77,0,1116.65,1.7
"138",2.33892617449664,14.2,"bare",0,0.77,0,1123.1,1.71
"139",2.35234899328859,14.2,"bare",0,0.77,0,1129.55,1.71
"140",2.36577181208054,14.2,"bare",0,0.78,0,1136,1.72
"141",2.37919463087248,14.2,"bare",0,0.78,0,1142.44,1.72
"142",2.39261744966443,14.2,"bare",0,0.79,0,1148.89,1.72
"143",2.40604026845638,14.2,"bare",0,0.79,0,1155.34,1.73
"144",2.41946308724832,14.2,"bare",0,0.8,0,1161.79,1.73
"145",2.43288590604027,14.2,"bare",0,0.8,0,1168.24,1.74
"146",2.44630872483221,14.2,"bare",0,0.81,0,1174.69,1.74
"147",2.45973154362416,14.2,"bare",0,0.81,0,1181.14,1.74
"148",2.47315436241611,14.2,"bare",0,0.81,0,1187.59,1.75
"149",2.48657718120805,14.2,"bare",0,0.82,0,1194.04,1.75
"150",2.5,14.2,"bare",0,0.82,0,1200.49,1.76
"151",0.5,87.9302013422819,"seagrass",712.76,0.59,6.81,10947.26,0.01
"152",0.513422818791946,87.9302013422819,"seagrass",722.6,0.61,6.89,11093.22,0.01
"153",0.526845637583893,87.9302013422819,"seagrass",732.51,0.63,6.97,11239.97,0.01
"154",0.540268456375839,87.9302013422819,"seagrass",742.47,0.64,7.05,11387.49,0.01
"155",0.553691275167785,87.9302013422819,"seagrass",752.48,0.66,7.13,11535.76,0.01
"156",0.567114093959732,87.9302013422819,"seagrass",762.55,0.68,7.21,11684.76,0.01
"157",0.580536912751678,87.9302013422819,"seagrass",772.68,0.7,7.29,11834.49,0.01
"158",0.593959731543624,87.9302013422819,"seagrass",782.86,0.72,7.37,11984.93,0.01
"159",0.60738255033557,87.9302013422819,"seagrass",793.08,0.74,7.45,12136.06,0.01
"160",0.620805369127517,87.9302013422819,"seagrass",803.36,0.76,7.53,12287.86,0.01
"161",0.634228187919463,87.9302013422819,"seagrass",813.69,0.78,7.62,12440.33,0.01
"162",0.647651006711409,87.9302013422819,"seagrass",824.06,0.79,7.7,12593.44,0.01
"163",0.661073825503356,87.9302013422819,"seagrass",834.48,0.81,7.78,12747.18,0.01
"164",0.674496644295302,87.9302013422819,"seagrass",844.95,0.83,7.87,12901.54,0.01
"165",0.687919463087248,87.9302013422819,"seagrass",855.46,0.85,7.95,13056.5,0.01
"166",0.701342281879195,87.9302013422819,"seagrass",866.02,0.87,8.03,13212.05,0.01
"167",0.714765100671141,87.9302013422819,"seagrass",876.62,0.89,8.12,13368.17,0.01
"168",0.728187919463087,87.9302013422819,"seagrass",887.26,0.91,8.2,13524.86,0.01
"169",0.741610738255034,87.9302013422819,"seagrass",897.94,0.93,8.28,13682.1,0.01
"170",0.75503355704698,87.9302013422819,"seagrass",908.66,0.95,8.37,13839.87,0.01
"171",0.768456375838926,87.9302013422819,"seagrass",919.41,0.97,8.45,13998.17,0.01
"172",0.781879194630873,87.9302013422819,"seagrass",930.21,0.99,8.54,14156.97,0.01
"173",0.795302013422819,87.9302013422819,"seagrass",941.04,1.01,8.63,14316.27,0.01
"174",0.808724832214765,87.9302013422819,"seagrass",951.91,1.03,8.71,14476.06,0.01
"175",0.822147651006711,87.9302013422819,"seagrass",962.81,1.05,8.8,14636.32,0.01
"176",0.835570469798658,87.9302013422819,"seagrass",973.75,1.07,8.88,14797.05,0.01
"177",0.848993288590604,87.9302013422819,"seagrass",984.72,1.09,8.97,14958.22,0.01
"178",0.86241610738255,87.9302013422819,"seagrass",995.72,1.11,9.06,15119.83,0.01
"179",0.875838926174497,87.9302013422819,"seagrass",1006.76,1.13,9.14,15281.87,0.01
"180",0.889261744966443,87.9302013422819,"seagrass",1017.82,1.15,9.23,15444.32,0.01
"181",0.902684563758389,87.9302013422819,"seagrass",1028.91,1.17,9.32,15607.18,0.01
"182",0.916107382550336,87.9302013422819,"seagrass",1040.04,1.19,9.4,15770.44,0.01
"183",0.929530201342282,87.9302013422819,"seagrass",1051.19,1.21,9.49,15934.07,0.01
"184",0.942953020134228,87.9302013422819,"seagrass",1062.37,1.23,9.58,16098.08,0.01
"185",0.956375838926175,87.9302013422819,"bistable",1073.57,1.25,9.66,16262.46,0.01
"186",0.969798657718121,87.9302013422819,"bistable",1084.8,1.27,9.75,16427.18,0.01
"187",0.983221476510067,87.9302013422819,"bistable",1096.06,1.29,9.84,16592.25,0.01
"188",0.996644295302013,87.9302013422819,"bistable",1107.34,1.31,9.93,16757.65,0.01
"189",1.01006711409396,87.9302013422819,"bistable",1118.64,1.33,10.02,16923.37,0.01
"190",1.02348993288591,87.9302013422819,"bistable",1129.97,1.35,10.1,17089.4,0.01
"191",1.03691275167785,87.9302013422819,"bistable",1141.31,1.37,10.19,17255.74,0.01
"192",1.0503355704698,87.9302013422819,"bistable",1152.68,1.39,10.28,17422.37,0.01
"193",1.06375838926175,87.9302013422819,"bistable",1164.07,1.41,10.37,17589.28,0.01
"194",1.07718120805369,87.9302013422819,"bistable",1175.48,1.43,10.46,17756.46,0.01
"195",1.09060402684564,87.9302013422819,"bistable",1186.91,1.45,10.55,17923.91,0.01
"196",1.10402684563758,87.9302013422819,"bistable",1198.36,1.47,10.64,18091.61,0.01
"197",1.11744966442953,87.9302013422819,"bistable",1209.82,1.5,10.73,18259.55,0.01
"198",1.13087248322148,87.9302013422819,"bistable",1221.3,1.52,10.81,18427.73,0.01
"199",1.14429530201342,87.9302013422819,"bistable",1232.8,1.54,10.9,18596.13,0.01
"200",1.15771812080537,87.9302013422819,"bistable",1244.31,1.56,10.99,18764.75,0.01
"201",1.17114093959732,87.9302013422819,"bistable",1255.83,1.58,11.08,18933.57,0.01
"202",1.18456375838926,87.9302013422819,"bistable",1267.37,1.6,11.17,19102.58,0.01
"203",1.19798657718121,87.9302013422819,"bistable",1278.92,1.62,11.26,19271.78,0.01
"204",1.21140939597315,87.9302013422819,"bistable",1290.49,1.64,11.35,19441.15,0.01
"205",1.2248322147651,87.9302013422819,"bistable",1302.06,1.66,11.44,19610.67,0.01
"206",1.23825503355705,87.9302013422819,"bistable",1313.65,1.68,11.53,19780.35,0.01
"207",1.25167785234899,87.9302013422819,"bistable",1325.24,1.7,11.62,19950.17,0.01
"208",1.26510067114094,87.9302013422819,"bistable",1336.84,1.72,11.71,20120.11,0.01
"209",1.27852348993289,87.9302013422819,"bistable",1348.45,1.75,11.8,20290.17,0.02
"210",1.29194630872483,87.9302013422819,"bistable",1360.07,1.77,11.89,20460.32,0.02
"211",1.30536912751678,87.9302013422819,"bistable",1371.69,1.79,11.97,20630.56,0.02
"212",1.31879194630872,87.9302013422819,"bistable",1383.31,1.81,12.06,20800.88,0.02
"213",1.33221476510067,87.9302013422819,"bistable",1394.94,1.83,12.15,20971.25,0.02
"214",1.34563758389262,87.9302013422819,"bistable",1406.57,1.85,12.24,21141.67,0.02
"215",1.35906040268456,87.9302013422819,"bistable",1418.2,1.87,12.33,21312.11,0.02
"216",1.37248322147651,87.9302013422819,"bistable",1429.83,1.89,12.42,21482.55,0.02
"217",1.38590604026846,87.9302013422819,"bistable",1441.45,1.91,12.51,21652.99,0.02
"218",1.3993288590604,87.9302013422819,"bistable",1453.07,1.94,12.6,21823.39,0.02
"219",1.41275167785235,87.9302013422819,"bistable",1464.69,1.96,12.69,21993.73,0.02
"220",1.4261744966443,87.9302013422819,"bistable",1476.29,1.98,12.78,22163.99,0.02
"221",1.43959731543624,87.9302013422819,"bistable",1487.89,2,12.87,22334.15,0.02
"222",1.45302013422819,87.9302013422819,"bistable",1499.47,2.02,12.95,22504.17,0.02
"223",1.46644295302013,87.9302013422819,"bistable",1511.04,2.04,13.04,22674.02,0.02
"224",1.47986577181208,87.9302013422819,"bistable",1522.59,2.06,13.13,22843.67,0.02
"225",1.49328859060403,87.9302013422819,"bistable",1534.11,2.08,13.22,23013.08,0.02
"226",1.50671140939597,87.9302013422819,"bistable",1545.62,2.11,13.31,23182.2,0.03
"227",1.52013422818792,87.9302013422819,"bistable",1557.09,2.13,13.39,23350.98,0.03
"228",1.53355704697987,87.9302013422819,"bistable",1568.53,2.15,13.48,23519.38,0.03
"229",1.54697986577181,87.9302013422819,"bistable",1579.93,2.17,13.57,23687.33,0.03
"230",1.56040268456376,87.9302013422819,"bistable",1591.29,2.19,13.65,23854.75,0.03
"231",1.5738255033557,87.9302013422819,"bistable",1602.59,2.21,13.74,24021.57,0.03
"232",1.58724832214765,87.9302013422819,"bistable",1613.84,2.23,13.83,24187.69,0.03
"233",1.6006711409396,87.9302013422819,"bistable",1625.02,2.25,13.91,24353,0.03
"234",1.61409395973154,87.9302013422819,"bistable",1636.12,2.28,13.99,24517.38,0.04
"235",1.62751677852349,87.9302013422819,"bistable",1647.13,2.3,14.08,24680.68,0.04
"236",1.64093959731544,87.9302013422819,"bistable",1658.04,2.32,14.16,24842.72,0.04
"237",1.65436241610738,87.9302013422819,"bistable",1668.83,2.34,14.24,25003.3,0.04
"238",1.66778523489933,87.9302013422819,"bistable",1679.47,2.36,14.32,25162.15,0.04
"239",1.68120805369128,87.9302013422819,"bistable",1689.94,2.38,14.4,25318.97,0.05
"240",1.69463087248322,87.9302013422819,"bistable",1700.22,2.4,14.48,25473.37,0.05
"241",1.70805369127517,87.9302013422819,"bistable",1710.26,2.42,14.56,25624.89,0.05
"242",1.72147651006711,87.9302013422819,"bistable",1720.01,2.44,14.63,25772.91,0.06
"243",1.73489932885906,87.9302013422819,"bistable",1729.41,2.47,14.7,25916.67,0.06
"244",1.74832214765101,87.9302013422819,"bistable",1738.38,2.49,14.77,26055.16,0.07
"245",1.76174496644295,87.9302013422819,"bistable",1746.8,2.51,14.83,26187.03,0.07
"246",1.7751677852349,87.9302013422819,"bistable",1754.53,2.53,14.89,26310.45,0.08
"247",1.78859060402685,87.9302013422819,"bistable",1761.36,2.55,14.94,26422.83,0.09
"248",1.80201342281879,87.9302013422819,"bistable",1766.97,2.57,14.98,26520.4,0.1
"249",1.81543624161074,87.9302013422819,"bistable",1770.9,2.59,15.01,26597.47,0.11
"250",1.82885906040268,87.9302013422819,"bistable",1772.41,2.61,15.02,26644.86,0.12
"251",1.84228187919463,87.9302013422819,"bistable",1770.19,2.63,15.01,26646.71,0.15
"252",1.85570469798658,87.9302013422819,"bistable",1761.76,2.64,14.94,26572.47,0.18
"253",1.86912751677852,87.9302013422819,"bistable",1741.38,2.66,14.79,26351.95,0.22
"254",1.88255033557047,87.9302013422819,"bistable",1690.16,2.67,14.4,25752.75,0.31
"255",1.89597315436242,87.9302013422819,"bare",0,0.62,0,910.31,1.57
"256",1.90939597315436,87.9302013422819,"bare",0,0.63,0,916.76,1.58
"257",1.92281879194631,87.9302013422819,"bare",0,0.63,0,923.21,1.58
"258",1.93624161073825,87.9302013422819,"bare",0,0.64,0,929.65,1.59
"259",1.9496644295302,87.9302013422819,"bare",0,0.64,0,936.1,1.59
"260",1.96308724832215,87.9302013422819,"bare",0,0.65,0,942.55,1.59
"261",1.97651006711409,87.9302013422819,"bare",0,0.65,0,949,1.6
"262",1.98993288590604,87.9302013422819,"bare",0,0.66,0,955.44,1.6
"263",2.00335570469799,87.9302013422819,"bare",0,0.66,0,961.89,1.61
"264",2.01677852348993,87.9302013422819,"bare",0,0.66,0,968.34,1.61
"265",2.03020134228188,87.9302013422819,"bare",0,0.67,0,974.79,1.61
"266",2.04362416107383,87.9302013422819,"bare",0,0.67,0,981.24,1.62
"267",2.05704697986577,87.9302013422819,"bare",0,0.68,0,987.68,1.62
"268",2.07046979865772,87.9302013422819,"bare",0,0.68,0,994.13,1.63
"269",2.08389261744966,87.9302013422819,"bare",0,0.69,0,1000.58,1.63
"270",2.09731543624161,87.9302013422819,"bare",0,0.69,0,1007.03,1.63
"271",2.11073825503356,87.9302013422819,"bare",0,0.69,0,1013.48,1.64
"272",2.1241610738255,87.9302013422819,"bare",0,0.7,0,1019.92,1.64
"273",2.13758389261745,87.9302013422819,"bare",0,0.7,0,1026.37,1.65
"274",2.1510067114094,87.9302013422819,"bare",0,0.71,0,1032.82,1.65
"275",2.16442953020134,87.9302013422819,"bare",0,0.71,0,1039.27,1.65
"276",2.17785234899329,87.9302013422819,"bare",0,0.72,0,1045.72,1.66
"277",2.19127516778523,87.9302013422819,"bare",0,0.72,0,1052.16,1.66
"278",2.20469798657718,87.9302013422819,"bare",0,0.73,0,1058.61,1.67
"279",2.21812080536913,87.9302013422819,"bare",0,0.73,0,1065.06,1.67
"280",2.23154362416107,87.9302013422819,"bare",0,0.73,0,1071.51,1.67
