"","temp","sh","stability","S","CA","CS","CB","N"
"1",298.85,14.2,"seagrass",1065.41,0.92,8.66,14224.13,0
"2",298.912416107383,14.2,"seagrass",1065.41,0.92,8.66,14153.16,0
"3",298.974832214765,14.2,"seagrass",1065.41,0.91,8.66,14082.57,0
"4",299.037248322148,14.2,"seagrass",1065.41,0.91,8.66,14012.35,0
"5",299.09966442953,14.2,"seagrass",1065.41,0.91,8.66,13942.5,0
"6",299.162080536913,14.2,"seagrass",1065.41,0.91,8.66,13873.02,0
"7",299.224496644295,14.2,"seagrass",1065.41,0.91,8.66,13803.91,0
"8",299.286912751678,14.2,"seagrass",1065.41,0.91,8.65,13735.16,0
"9",299.34932885906,14.2,"seagrass",1065.41,0.91,8.65,13666.78,0
"10",299.411744966443,14.2,"seagrass",1065.41,0.91,8.65,13598.76,0
"11",299.474161073826,14.2,"seagrass",1065.41,0.91,8.65,13531.09,0
"12",299.536577181208,14.2,"seagrass",1065.4,0.9,8.65,13463.78,0
"13",299.598993288591,14.2,"seagrass",1065.4,0.9,8.65,13396.83,0
"14",299.661409395973,14.2,"seagrass",1065.4,0.9,8.65,13330.23,0
"15",299.723825503356,14.2,"seagrass",1065.4,0.9,8.65,13263.98,0
"16",299.786241610738,14.2,"seagrass",1065.39,0.9,8.65,13198.08,0
"17",299.848657718121,14.2,"seagrass",1065.39,0.9,8.65,13132.53,0
"18",299.911073825503,14.2,"seagrass",1065.39,0.9,8.65,13067.32,0
"19",299.973489932886,14.2,"seagrass",1065.38,0.9,8.65,13002.45,0
"20",300.035906040268,14.2,"seagrass",1065.38,0.9,8.65,12937.92,0
"21",300.098322147651,14.2,"seagrass",1065.38,0.89,8.65,12873.73,0
"22",300.160738255034,14.2,"seagrass",1065.37,0.89,8.65,12809.88,0
"23",300.223154362416,14.2,"seagrass",1065.37,0.89,8.65,12746.37,0
"24",300.285570469799,14.2,"seagrass",1065.36,0.89,8.65,12683.18,0
"25",300.347986577181,14.2,"seagrass",1065.36,0.89,8.65,12620.33,0
"26",300.410402684564,14.2,"seagrass",1065.35,0.89,8.65,12557.81,0
"27",300.472818791946,14.2,"seagrass",1065.34,0.89,8.65,12495.61,0
"28",300.535234899329,14.2,"seagrass",1065.34,0.89,8.65,12433.74,0
"29",300.597651006711,14.2,"seagrass",1065.33,0.89,8.65,12372.19,0
"30",300.660067114094,14.2,"seagrass",1065.32,0.88,8.65,12310.96,0
"31",300.722483221477,14.2,"seagrass",1065.32,0.88,8.65,12250.05,0
"32",300.784899328859,14.2,"seagrass",1065.31,0.88,8.65,12189.46,0
"33",300.847315436242,14.2,"seagrass",1065.3,0.88,8.65,12129.19,0
"34",300.909731543624,14.2,"seagrass",1065.29,0.88,8.65,12069.23,0
"35",300.972147651007,14.2,"seagrass",1065.28,0.88,8.65,12009.58,0.01
"36",301.034563758389,14.2,"seagrass",1065.27,0.88,8.65,11950.24,0.01
"37",301.096979865772,14.2,"seagrass",1065.26,0.88,8.65,11891.21,0.01
"38",301.159395973154,14.2,"seagrass",1065.25,0.87,8.65,11832.49,0.01
"39",301.221812080537,14.2,"seagrass",1065.24,0.87,8.65,11774.07,0.01
"40",301.284228187919,14.2,"seagrass",1065.22,0.87,8.65,11715.95,0.01
"41",301.346644295302,14.2,"seagrass",1065.21,0.87,8.65,11658.13,0.01
"42",301.409060402685,14.2,"seagrass",1065.2,0.87,8.65,11600.62,0.01
"43",301.471476510067,14.2,"seagrass",1065.18,0.87,8.65,11543.4,0.01
"44",301.53389261745,14.2,"seagrass",1065.17,0.87,8.65,11486.47,0.01
"45",301.596308724832,14.2,"seagrass",1065.15,0.87,8.65,11429.84,0.01
"46",301.658724832215,14.2,"seagrass",1065.14,0.87,8.65,11373.5,0.01
"47",301.721140939597,14.2,"seagrass",1065.12,0.86,8.65,11317.45,0.01
"48",301.78355704698,14.2,"seagrass",1065.1,0.86,8.65,11261.69,0.01
"49",301.845973154362,14.2,"seagrass",1065.08,0.86,8.65,11206.22,0.01
"50",301.908389261745,14.2,"seagrass",1065.06,0.86,8.65,11151.03,0.01
"51",301.970805369128,14.2,"seagrass",1065.04,0.86,8.65,11096.12,0.01
"52",302.03322147651,14.2,"seagrass",1065.02,0.86,8.65,11041.49,0.01
"53",302.095637583893,14.2,"seagrass",1065,0.86,8.65,10987.15,0.01
"54",302.158053691275,14.2,"seagrass",1064.98,0.86,8.65,10933.08,0.01
"55",302.220469798658,14.2,"seagrass",1064.96,0.85,8.65,10879.28,0.01
"56",302.28288590604,14.2,"seagrass",1064.93,0.85,8.64,10825.76,0.01
"57",302.345302013423,14.2,"seagrass",1064.91,0.85,8.64,10772.51,0.01
"58",302.407718120805,14.2,"seagrass",1064.88,0.85,8.64,10719.53,0.01
"59",302.470134228188,14.2,"seagrass",1064.85,0.85,8.64,10666.82,0.01
"60",302.53255033557,14.2,"seagrass",1064.82,0.85,8.64,10614.37,0.01
"61",302.594966442953,14.2,"seagrass",1064.79,0.85,8.64,10562.19,0.01
"62",302.657382550336,14.2,"seagrass",1064.76,0.85,8.64,10510.27,0.01
"63",302.719798657718,14.2,"seagrass",1064.73,0.85,8.64,10458.61,0.01
"64",302.782214765101,14.2,"seagrass",1064.69,0.84,8.64,10407.2,0.01
"65",302.844630872483,14.2,"seagrass",1064.65,0.84,8.64,10356.06,0.01
"66",302.907046979866,14.2,"seagrass",1064.62,0.84,8.64,10305.16,0.01
"67",302.969463087248,14.2,"seagrass",1064.58,0.84,8.64,10254.52,0.01
"68",303.031879194631,14.2,"seagrass",1064.54,0.84,8.64,10204.13,0.01
"69",303.094295302013,14.2,"seagrass",1064.49,0.84,8.64,10153.99,0.01
"70",303.156711409396,14.2,"seagrass",1064.45,0.84,8.64,10104.09,0.01
"71",303.219127516779,14.2,"seagrass",1064.4,0.84,8.64,10054.44,0.01
"72",303.281543624161,14.2,"seagrass",1064.35,0.83,8.64,10005.02,0.01
"73",303.343959731544,14.2,"seagrass",1064.29,0.83,8.64,9955.85,0.01
"74",303.406375838926,14.2,"seagrass",1064.24,0.83,8.64,9906.91,0.01
"75",303.468791946309,14.2,"seagrass",1064.18,0.83,8.64,9858.2,0.01
"76",303.531208053691,14.2,"seagrass",1064.12,0.83,8.64,9809.72,0.01
"77",303.593624161074,14.2,"seagrass",1064.05,0.83,8.63,9761.47,0.01
"78",303.656040268456,14.2,"seagrass",1063.99,0.83,8.63,9713.45,0.01
"79",303.718456375839,14.2,"seagrass",1063.91,0.83,8.63,9665.65,0.01
"80",303.780872483221,14.2,"seagrass",1063.84,0.82,8.63,9618.06,0.01
"81",303.843288590604,14.2,"seagrass",1063.76,0.82,8.63,9570.69,0.01
"82",303.905704697987,14.2,"bistable",1063.67,0.82,8.63,9523.54,0.01
"83",303.968120805369,14.2,"bistable",1063.58,0.82,8.63,9476.59,0.01
"84",304.030536912752,14.2,"bistable",1063.49,0.82,8.63,9429.84,0.01
"85",304.092953020134,14.2,"bistable",1063.39,0.82,8.63,9383.29,0.01
"86",304.155369127517,14.2,"bistable",1063.28,0.82,8.63,9336.93,0.01
"87",304.217785234899,14.2,"bistable",1063.16,0.82,8.63,9290.77,0.01
"88",304.280201342282,14.2,"bistable",1063.04,0.81,8.63,9244.78,0.01
"89",304.342617449664,14.2,"bistable",1062.91,0.81,8.62,9198.98,0.01
"90",304.405033557047,14.2,"bistable",1062.77,0.81,8.62,9153.34,0.01
"91",304.46744966443,14.2,"bistable",1062.62,0.81,8.62,9107.86,0.01
"92",304.529865771812,14.2,"bistable",1062.45,0.81,8.62,9062.53,0.01
"93",304.592281879195,14.2,"bistable",1062.28,0.81,8.62,9017.35,0.01
