"","da","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",0,0,"seagrass",707,NA,0,0.81,NA,0.11,6.12,NA,0,10235.86,NA,162.15,0,NA,0.69
"2",0.0208333333333333,0,"seagrass",707,NA,0,0.81,NA,0.11,6.12,NA,0,10235.86,NA,162.15,0,NA,0.69
"3",20,0,"seagrass",707,NA,0,0.81,NA,0.11,6.12,NA,0,10235.86,NA,162.15,0,NA,0.69
"4",0,4.02684563758389e-05,"seagrass",619.46,NA,0,0.79,NA,0.11,5.43,NA,0,9172.06,NA,162.15,0,NA,0.69
"5",0.0208333333333333,4.02684563758389e-05,"seagrass",619.46,NA,0,0.79,NA,0.11,5.43,NA,0,9170.2,NA,162.12,0,NA,0.69
"6",20,4.02684563758389e-05,"seagrass",619.46,NA,0,0.79,NA,0.11,5.43,NA,0,7679.11,NA,135.76,0,NA,0.69
"7",0,8.05369127516779e-05,"seagrass",549.63,NA,0,0.77,NA,0.11,4.87,NA,0,8317.85,NA,162.15,0,NA,0.69
"8",0.0208333333333333,8.05369127516779e-05,"seagrass",549.63,NA,0,0.77,NA,0.11,4.87,NA,0,8314.48,NA,162.08,0,NA,0.69
"9",20,8.05369127516779e-05,"seagrass",549.63,NA,0,0.77,NA,0.11,4.87,NA,0,5989.09,NA,116.75,0,NA,0.69
"10",0,0.000120805369127517,"seagrass",492.69,NA,0,0.75,NA,0.11,4.42,NA,0,7616.34,NA,162.15,0,NA,0.69
"11",0.0208333333333333,0.000120805369127517,"seagrass",492.69,NA,0,0.75,NA,0.11,4.42,NA,0,7611.72,NA,162.05,0,NA,0.69
"12",20,0.000120805369127517,"seagrass",492.69,NA,0,0.75,NA,0.11,4.42,NA,0,4810.58,NA,102.42,0,NA,0.69
"13",0,0.000161073825503356,"seagrass",445.41,NA,0,0.74,NA,0.11,4.04,NA,0,7029.58,NA,162.15,0.01,NA,0.69
"14",0.0208333333333333,0.000161073825503356,"seagrass",445.41,NA,0,0.74,NA,0.11,4.04,NA,0,7023.89,NA,162.02,0.01,NA,0.69
"15",20,0.000161073825503356,"seagrass",445.41,NA,0,0.74,NA,0.11,4.04,NA,0,3954.39,NA,91.22,0.01,NA,0.69
"16",0,0.000201342281879195,"seagrass",405.58,NA,0,0.72,NA,0.11,3.72,NA,0,6531.26,NA,162.15,0.01,NA,0.69
"17",0.0208333333333333,0.000201342281879195,"seagrass",405.58,NA,0,0.72,NA,0.11,3.72,NA,0,6524.66,NA,161.99,0.01,NA,0.69
"18",20,0.000201342281879195,"seagrass",405.58,NA,0,0.72,NA,0.11,3.72,NA,0,3311.86,NA,82.22,0.01,NA,0.69
"19",0,0.000241610738255034,"seagrass",371.59,NA,0,0.7,NA,0.11,3.45,NA,0,6102.59,NA,162.15,0.01,NA,0.69
"20",0.0208333333333333,0.000241610738255034,"seagrass",371.59,NA,0,0.7,NA,0.11,3.45,NA,0,6095.18,NA,161.95,0.01,NA,0.69
"21",20,0.000241610738255034,"seagrass",371.59,NA,0,0.7,NA,0.11,3.45,NA,0,2816.8,NA,74.84,0.01,NA,0.69
"22",0,0.000281879194630873,"seagrass",342.27,NA,0,0.69,NA,0.11,3.21,NA,0,5729.75,NA,162.15,0.01,NA,0.69
"23",0.0208333333333333,0.000281879194630873,"seagrass",342.27,NA,0,0.69,NA,0.11,3.21,NA,0,5721.64,NA,161.92,0.01,NA,0.69
"24",20,0.000281879194630873,"seagrass",342.27,NA,0,0.69,NA,0.11,3.21,NA,0,2426.92,NA,68.68,0.01,NA,0.69
"25",0,0.000322147651006711,"seagrass",316.75,NA,0,0.67,NA,0.11,3.01,NA,0,5402.39,NA,162.15,0.01,NA,0.69
"26",0.0208333333333333,0.000322147651006711,"seagrass",316.75,NA,0,0.67,NA,0.11,3.01,NA,0,5393.65,NA,161.89,0.01,NA,0.69
"27",20,0.000322147651006711,"seagrass",316.75,NA,0,0.67,NA,0.11,3.01,NA,0,2114.17,NA,63.46,0.01,NA,0.69
"28",0,0.00036241610738255,"seagrass",294.36,NA,0,0.66,NA,0.11,2.83,NA,0,5112.58,NA,162.15,0.01,NA,0.69
"29",0.0208333333333333,0.00036241610738255,"seagrass",294.36,NA,0,0.66,NA,0.11,2.83,NA,0,5103.28,NA,161.86,0.01,NA,0.69
"30",20,0.00036241610738255,"seagrass",294.36,NA,0,0.66,NA,0.11,2.83,NA,0,1859.29,NA,58.97,0.01,NA,0.69
"31",0,0.000402684563758389,"seagrass",274.57,NA,0,0.65,NA,0.11,2.66,NA,0,4854.14,NA,162.15,0.01,NA,0.69
"32",0.0208333333333333,0.000402684563758389,"seagrass",274.57,NA,0,0.65,NA,0.11,2.66,NA,0,4844.33,NA,161.82,0.01,NA,0.69
"33",20,0.000402684563758389,"seagrass",274.57,NA,0,0.65,NA,0.11,2.66,NA,0,1648.73,NA,55.08,0.01,NA,0.69
"34",0,0.000442953020134228,"seagrass",256.97,NA,0,0.63,NA,0.11,2.52,NA,0,4622.18,NA,162.15,0.01,NA,0.69
"35",0.0208333333333333,0.000442953020134228,"seagrass",256.97,NA,0,0.63,NA,0.11,2.52,NA,0,4611.91,NA,161.79,0.01,NA,0.69
"36",20,0.000442953020134228,"seagrass",256.97,NA,0,0.63,NA,0.11,2.52,NA,0,1472.7,NA,51.66,0.01,NA,0.69
"37",0,0.000483221476510067,"seagrass",241.23,NA,0,0.62,NA,0.11,2.39,NA,0,4412.8,NA,162.15,0.01,NA,0.69
